"","Name","POS","Age","Exp","College","team"
"1","David Blough","QB",28,4,"Purdue","ARI"
"2","Jeff Driskel","QB",30,8,"Louisiana Tech","ARI"
"3","Colt McCoy","QB",36,14,"Texas","ARI"
"4","Kyler Murray","QB",26,5,"Oklahoma","ARI"
"5","Clayton Tune","QB",24,0,"Houston","ARI"
"6","Corey Clement","RB",28,7,"Wisconsin","ARI"
"7","James Conner","RB",28,7,"Pittsburgh","ARI"
"8","Emari Demercado","RB",24,0,"TCU","ARI"
"9","Keaontay Ingram","RB",23,2,"USC","ARI"
"10","Marlon Mack","RB",27,7,"South Florida","ARI"
"11","Ty'Son Williams","RB",26,2,"BYU","ARI"
"12","Daniel Arias","WR",24,0,"Colorado","ARI"
"13","Andre Baccellia","WR",26,2,"Washington","ARI"
"14","Marquise Brown","WR",26,5,"Oklahoma","ARI"
"15","Brian Cobbs","WR",23,0,"Utah State","ARI"
"16","Davion Davis","WR",26,2,"Sam Houston State","ARI"
"17","Kaden Davis","WR",24,1,"--","ARI"
"18","Greg Dortch","WR",25,3,"Wake Forest","ARI"
"19","Rondale Moore","WR",23,3,"Purdue","ARI"
"20","Zach Pascal","WR",28,6,"Old Dominion","ARI"
"21","Brandon Smith","WR",24,1,"Iowa","ARI"
"22","Michael Wilson","WR",23,0,"Stanford","ARI"
"23","Zach Ertz","TE",32,11,"Stanford","ARI"
"24","Joel Honigford","TE",25,0,"Michigan","ARI"
"25","Trey McBride","TE",23,2,"Colorado State","ARI"
"26","Bernhard Seikovits","TE",26,1,"--","ARI"
"27","Geoff Swaim","TE",29,9,"Texas","ARI"
"28","Noah Togiai","TE",26,2,"Oregon State","ARI"
"29","Blake Whiteheart","TE",23,0,"Wake Forest","ARI"
"30","Taylor Heinicke","QB",30,6,"Old Dominion","ATL"
"31","Desmond Ridder","QB",23,2,"Cincinnati","ATL"
"32","Logan Woodside","QB",28,4,"Toledo","ATL"
"33","Tyler Allgeier","RB",23,2,"BYU","ATL"
"34","Godwin Igwebuike","RB",28,5,"Northwestern","ATL"
"35","Cordarrelle Patterson","RB",32,11,"Tennessee","ATL"
"36","Clint Ratkovich","RB",25,1,"Northern Illinois","ATL"
"37","Bijan Robinson","RB",21,0,"Texas","ATL"
"38","Carlos Washington Jr.","RB",24,0,"SE Louisiana","ATL"
"39","Josh Ali","WR",24,1,"Kentucky","ATL"
"40","J.J. Arcega-Whiteside","WR",26,4,"Stanford","ATL"
"41","Slade Bolden","WR",24,2,"Alabama","ATL"
"42","Frank Darby","WR",25,3,"Arizona State","ATL"
"43","Keilahn Harris","WR",22,0,"Oklahoma Baptist","ATL"
"44","Penny Hart","WR",27,4,"Georgia State","ATL"
"45","KhaDarel Hodge","WR",28,6,"Prairie View A&M","ATL"
"46","Mack Hollins","WR",29,7,"North Carolina","ATL"
"47","Drake London","WR",22,2,"USC","ATL"
"48","Xavier Malone","WR",23,0,"Henderson State","ATL"
"49","Scott Miller","WR",26,5,"Bowling Green","ATL"
"50","Mathew Sexton","WR",25,1,"Eastern Michigan","ATL"
"51","Tucker Fisk","TE",24,1,"Stanford","ATL"
"52","John FitzPatrick","TE",23,2,"Georgia","ATL"
"53","Feleipe Franks","TE",25,3,"Arkansas","ATL"
"54","Parker Hesse","TE",28,3,"Iowa","ATL"
"55","Kyle Pitts","TE",22,3,"Florida","ATL"
"56","MyCole Pruitt","TE",31,8,"Southern Illinois","ATL"
"57","Jonnu Smith","TE",27,7,"Florida International","ATL"
"58","Anthony Brown","QB",25,1,"Oregon","BAL"
"59","Tyler Huntley","QB",25,4,"Utah","BAL"
"60","Lamar Jackson","QB",26,6,"Louisville","BAL"
"61","Josh Johnson","QB",37,8,"San Diego","BAL"
"62","J.K. Dobbins","RB",24,4,"Ohio State","BAL"
"63","Gus Edwards","RB",28,6,"Rutgers","BAL"
"64","Melvin Gordon III","RB",30,9,"Wisconsin","BAL"
"65","Justice Hill","RB",25,5,"Oklahoma State","BAL"
"66","Keaton Mitchell","RB",21,0,"East Carolina","BAL"
"67","Owen Wright","RB",24,0,"Monmouth","BAL"
"68","Nelson Agholor","WR",30,9,"USC","BAL"
"69","Rashod Bateman","WR",23,3,"Minnesota","BAL"
"70","Odell Beckham Jr.","WR",30,9,"LSU","BAL"
"71","Tarik Black","WR",25,1,"Texas","BAL"
"72","Shemar Bridges","WR",25,1,"Fort Valley State","BAL"
"73","Dontay Demus Jr.","WR",22,0,"Maryland","BAL"
"74","Devin Duvernay","WR",25,4,"Texas","BAL"
"75","Zay Flowers","WR",22,0,"Boston College","BAL"
"76","James Proche II","WR",26,4,"SMU","BAL"
"77","Sean Ryan","WR",24,0,"Rutgers","BAL"
"78","Laquon Treadwell","WR",28,5,"Ole Miss","BAL"
"79","Tylan Wallace","WR",24,3,"Oklahoma State","BAL"
"80","Mark Andrews","TE",27,6,"Oklahoma","BAL"
"81","Charlie Kolar","TE",24,2,"Iowa State","BAL"
"82","Isaiah Likely","TE",23,2,"Coastal Carolina","BAL"
"83","Travis Vokolek","TE",25,0,"Nebraska","BAL"
"84","Josh Allen","QB",27,6,"Wyoming","BUF"
"85","Kyle Allen","QB",27,5,"Houston","BUF"
"86","Matt Barkley","QB",32,10,"USC","BUF"
"87","James Cook","RB",23,2,"Georgia","BUF"
"88","Darrynton Evans","RB",25,4,"Appalachian State","BUF"
"89","Damien Harris","RB",26,5,"Alabama","BUF"
"90","Jordan Mims","RB",24,0,"Fresno State","BUF"
"91","Latavius Murray","RB",33,11,"UCF","BUF"
"92","Marcell Ateman","WR",28,3,"Oklahoma State","BUF"
"93","Isaiah Coulter","WR",24,2,"Rhode Island","BUF"
"94","Gabe Davis","WR",24,4,"UCF","BUF"
"95","Stefon Diggs","WR",29,9,"Maryland","BUF"
"96","Deonte Harty","WR",25,5,"Assumption","BUF"
"97","Andy Isabella","WR",26,5,"Massachusetts","BUF"
"98","KeeSean Johnson","WR",26,3,"Fresno State","BUF"
"99","Dezmon Patmon","WR",25,3,"Washington State","BUF"
"100","Khalil Shakir","WR",23,2,"Boise State","BUF"
"101","Tyrell Shavers","WR",23,0,"Middle Tennessee","BUF"
"102","Trent Sherfield","WR",27,6,"Vanderbilt","BUF"
"103","Justin Shorter","WR",23,0,"Florida","BUF"
"104","Bryan Thompson","WR",24,0,"Arizona State","BUF"
"105","Dalton Kincaid","TE",23,0,"Utah","BUF"
"106","Dawson Knox","TE",26,5,"Ole Miss","BUF"
"107","Quintin Morris","TE",24,2,"Bowling Green","BUF"
"108","Jace Sternberger","TE",27,4,"Texas A&M","BUF"
"109","Joel Wilson","TE",23,0,"Central Michigan","BUF"
"110","Matt Corral","QB",24,0,"Ole Miss","CAR"
"111","Andy Dalton","QB",35,12,"TCU","CAR"
"112","Jake Luton","QB",27,3,"Oregon State","CAR"
"113","Bryce Young","QB",22,0,"Alabama","CAR"
"114","Raheem Blackshear","RB",25,2,"Virginia Tech","CAR"
"115","Spencer Brown","RB",24,1,"UAB","CAR"
"116","Chuba Hubbard","RB",24,3,"Oklahoma State","CAR"
"117","Camerun Peoples","RB",23,0,"Appalachian State","CAR"
"118","Miles Sanders","RB",26,5,"Penn State","CAR"
"119","Damiere Byrd","WR",30,7,"South Carolina","CAR"
"120","DJ Chark Jr.","WR",26,6,"LSU","CAR"
"121","Gary Jennings","WR",26,2,"West Virginia","CAR"
"122","Terrace Marshall Jr.","WR",23,3,"LSU","CAR"
"123","Jonathan Mingo","WR",22,0,"Ole Miss","CAR"
"124","C.J. Saunders","WR",26,1,"Ohio State","CAR"
"125","Laviska Shenault Jr.","WR",24,4,"Colorado","CAR"
"126","Shi Smith","WR",24,3,"South Carolina","CAR"
"127","Adam Thielen","WR",32,10,"Minnesota State Moorhead","CAR"
"128","Josh Vann","WR",23,0,"South Carolina","CAR"
"129","Javon Wims","WR",28,4,"Georgia","CAR"
"130","Derek Wright","WR",25,1,"Utah State","CAR"
"131","Hayden Hurst","TE",29,6,"South Carolina","CAR"
"132","Giovanni Ricci","TE",26,3,"Western Michigan","CAR"
"133","Stephen Sullivan","TE",26,2,"LSU","CAR"
"134","Ian Thomas","TE",27,6,"Indiana","CAR"
"135","Tommy Tremble","TE",23,3,"Notre Dame","CAR"
"136","Tyson Bagent","QB",23,0,"Shepherd","CHI"
"137","Justin Fields","QB",24,3,"Ohio State","CHI"
"138","Nathan Peterman","QB",29,7,"Pittsburgh","CHI"
"139","PJ Walker","QB",28,4,"Temple","CHI"
"140","Trestan Ebner","RB",24,2,"Baylor","CHI"
"141","D'Onta Foreman","RB",27,6,"Texas","CHI"
"142","Khalil Herbert","RB",25,3,"Virginia Tech","CHI"
"143","Travis Homer","RB",25,5,"Miami","CHI"
"144","Roschon Johnson","RB",22,0,"Texas","CHI"
"145","Chase Claypool","WR",25,4,"Notre Dame","CHI"
"146","Isaiah Ford","WR",27,5,"Virginia Tech","CHI"
"147","Daurice Fountain","WR",27,4,"Northern Iowa","CHI"
"148","Velus Jones Jr.","WR",26,2,"Tennessee","CHI"
"149","Darnell Mooney","WR",25,4,"Tulane","CHI"
"150","DJ Moore","WR",26,6,"Maryland","CHI"
"151","Dante Pettis","WR",27,6,"Washington","CHI"
"152","Joe Reed","WR",25,2,"Virginia","CHI"
"153","Tyler Scott","WR",21,0,"Cincinnati","CHI"
"154","Equanimeous St. Brown","WR",26,6,"Notre Dame","CHI"
"155","Nsimba Webster","WR",27,4,"Eastern Washington","CHI"
"156","Stephen Carlson","TE",26,4,"Princeton","CHI"
"157","Cole Kmet","TE",24,4,"Notre Dame","CHI"
"158","Marcedes Lewis","TE",39,18,"UCLA","CHI"
"159","Jared Pinkney","TE",25,4,"Vanderbilt","CHI"
"160","Lachlan Pitts","TE",NA,0,"William & Mary","CHI"
"161","Robert Tonyan","TE",29,6,"Indiana State","CHI"
"162","Jake Browning","QB",27,1,"Washington","CIN"
"163","Joe Burrow","QB",26,4,"LSU","CIN"
"164","Trevor Siemian","QB",31,8,"Northwestern","CIN"
"165","Reid Sinnett","QB",26,2,"San Diego","CIN"
"166","Chase Brown","RB",23,0,"Illinois","CIN"
"167","Chris Evans","RB",25,3,"Michigan","CIN"
