"","Name","POS","Age","Exp","College","team"
"1","David Blough","QB",28,4,"Purdue","ARI"
"2","Jeff Driskel","QB",30,8,"Louisiana Tech","ARI"
"3","Colt McCoy","QB",36,14,"Texas","ARI"
"4","Kyler Murray","QB",26,5,"Oklahoma","ARI"
"5","Clayton Tune","QB",24,0,"Houston","ARI"
"6","Corey Clement","RB",28,7,"Wisconsin","ARI"
"7","James Conner","RB",28,7,"Pittsburgh","ARI"
"8","Emari Demercado","RB",24,0,"TCU","ARI"
"9","Keaontay Ingram","RB",23,2,"USC","ARI"
"10","Marlon Mack","RB",27,7,"South Florida","ARI"
"11","Stevie Scott","RB",23,1,"Indiana","ARI"
"12","Ty'Son Williams","RB",26,2,"BYU","ARI"
"13","Daniel Arias","WR",24,0,"Colorado","ARI"
"14","Andre Baccellia","WR",26,2,"Washington","ARI"
"15","Marquise Brown","WR",26,5,"Oklahoma","ARI"
"16","Brian Cobbs","WR",23,0,"Utah State","ARI"
"17","Davion Davis","WR",26,2,"Sam Houston State","ARI"
"18","Kaden Davis","WR",24,1,"--","ARI"
"19","Greg Dortch","WR",25,3,"Wake Forest","ARI"
"20","Rondale Moore","WR",23,3,"Purdue","ARI"
"21","Zach Pascal","WR",28,6,"Old Dominion","ARI"
"22","Brandon Smith","WR",24,1,"Iowa","ARI"
"23","Michael Wilson","WR",23,0,"Stanford","ARI"
"24","Zach Ertz","TE",32,11,"Stanford","ARI"
"25","Joel Honigford","TE",25,0,"Michigan","ARI"
"26","Trey McBride","TE",23,2,"Colorado State","ARI"
"27","Bernhard Seikovits","TE",26,1,"--","ARI"
"28","Geoff Swaim","TE",29,9,"Texas","ARI"
"29","Noah Togiai","TE",26,2,"Oregon State","ARI"
"30","Blake Whiteheart","TE",23,0,"Wake Forest","ARI"
"31","Taylor Heinicke","QB",30,6,"Old Dominion","ATL"
"32","Desmond Ridder","QB",23,2,"Cincinnati","ATL"
"33","Logan Woodside","QB",28,4,"Toledo","ATL"
"34","Tyler Allgeier","RB",23,2,"BYU","ATL"
"35","Godwin Igwebuike","RB",28,5,"Northwestern","ATL"
"36","Cordarrelle Patterson","RB",32,11,"Tennessee","ATL"
"37","Clint Ratkovich","RB",25,1,"Northern Illinois","ATL"
"38","Bijan Robinson","RB",21,0,"Texas","ATL"
"39","Carlos Washington Jr.","RB",24,0,"Southeastern Louisiana","ATL"
"40","Josh Ali","WR",24,1,"Kentucky","ATL"
"41","J.J. Arcega-Whiteside","WR",26,4,"Stanford","ATL"
"42","Chris Blair","WR",25,1,"Alcorn State","ATL"
"43","Slade Bolden","WR",24,2,"Alabama","ATL"
"44","Frank Darby","WR",25,3,"Arizona State","ATL"
"45","Keilahn Harris","WR",22,0,"Oklahoma Baptist","ATL"
"46","Penny Hart","WR",27,4,"Georgia State","ATL"
"47","KhaDarel Hodge","WR",28,6,"Prairie View A&M","ATL"
"48","Mack Hollins","WR",29,7,"North Carolina","ATL"
"49","Drake London","WR",22,2,"USC","ATL"
"50","Xavier Malone","WR",23,0,"Henderson State","ATL"
"51","Scott Miller","WR",26,5,"Bowling Green","ATL"
"52","Mathew Sexton","WR",25,1,"Eastern Michigan","ATL"
"53","Tucker Fisk","TE",24,1,"Stanford","ATL"
"54","John FitzPatrick","TE",23,2,"Georgia","ATL"
"55","Feleipe Franks","TE",25,3,"Arkansas","ATL"
"56","Parker Hesse","TE",28,3,"Iowa","ATL"
"57","Kyle Pitts","TE",22,3,"Florida","ATL"
"58","MyCole Pruitt","TE",31,8,"Southern Illinois","ATL"
"59","Jonnu Smith","TE",27,7,"Florida International","ATL"
"60","Anthony Brown","QB",25,1,"Oregon","BAL"
"61","Tyler Huntley","QB",25,4,"Utah","BAL"
"62","Lamar Jackson","QB",26,6,"Louisville","BAL"
"63","Josh Johnson","QB",37,8,"San Diego","BAL"
"64","J.K. Dobbins","RB",24,4,"Ohio State","BAL"
"65","Gus Edwards","RB",28,6,"Rutgers","BAL"
"66","Melvin Gordon III","RB",30,9,"Wisconsin","BAL"
"67","Justice Hill","RB",25,5,"Oklahoma State","BAL"
"68","Keaton Mitchell","RB",21,0,"East Carolina","BAL"
"69","Owen Wright","RB",24,0,"Monmouth","BAL"
"70","Nelson Agholor","WR",30,9,"USC","BAL"
"71","Rashod Bateman","WR",23,3,"Minnesota","BAL"
"72","Odell Beckham Jr.","WR",30,9,"LSU","BAL"
"73","Tarik Black","WR",25,1,"Texas","BAL"
"74","Shemar Bridges","WR",25,1,"Fort Valley State","BAL"
"75","Dontay Demus Jr.","WR",22,0,"Maryland","BAL"
"76","Devin Duvernay","WR",25,4,"Texas","BAL"
"77","Zay Flowers","WR",22,0,"Boston College","BAL"
"78","James Proche II","WR",26,4,"SMU","BAL"
"79","Sean Ryan","WR",24,0,"Rutgers","BAL"
"80","Laquon Treadwell","WR",28,5,"Ole Miss","BAL"
"81","Tylan Wallace","WR",24,3,"Oklahoma State","BAL"
"82","Mark Andrews","TE",27,6,"Oklahoma","BAL"
"83","Charlie Kolar","TE",24,2,"Iowa State","BAL"
"84","Isaiah Likely","TE",23,2,"Coastal Carolina","BAL"
"85","Travis Vokolek","TE",25,0,"Nebraska","BAL"
"86","Josh Allen","QB",27,6,"Wyoming","BUF"
"87","Kyle Allen","QB",27,5,"Houston","BUF"
"88","Matt Barkley","QB",32,10,"USC","BUF"
"89","James Cook","RB",23,2,"Georgia","BUF"
"90","Darrynton Evans","RB",25,4,"Appalachian State","BUF"
"91","Damien Harris","RB",26,5,"Alabama","BUF"
"92","Jordan Mims","RB",24,0,"Fresno State","BUF"
"93","Latavius Murray","RB",33,11,"UCF","BUF"
"94","Marcell Ateman","WR",28,3,"Oklahoma State","BUF"
"95","Isaiah Coulter","WR",24,2,"Rhode Island","BUF"
"96","Gabe Davis","WR",24,4,"UCF","BUF"
"97","Stefon Diggs","WR",29,9,"Maryland","BUF"
"98","Deonte Harty","WR",25,5,"Assumption","BUF"
"99","Andy Isabella","WR",26,5,"Massachusetts","BUF"
"100","KeeSean Johnson","WR",26,3,"Fresno State","BUF"
"101","Dezmon Patmon","WR",25,3,"Washington State","BUF"
"102","Khalil Shakir","WR",23,2,"Boise State","BUF"
"103","Tyrell Shavers","WR",23,0,"Middle Tennessee","BUF"
"104","Trent Sherfield","WR",27,6,"Vanderbilt","BUF"
"105","Justin Shorter","WR",23,0,"Florida","BUF"
"106","Bryan Thompson","WR",24,0,"Arizona State","BUF"
"107","Dalton Kincaid","TE",23,0,"Utah","BUF"
"108","Dawson Knox","TE",26,5,"Ole Miss","BUF"
"109","Quintin Morris","TE",24,2,"Bowling Green","BUF"
"110","Jace Sternberger","TE",27,4,"Texas A&M","BUF"
"111","Joel Wilson","TE",23,0,"Central Michigan","BUF"
"112","Matt Corral","QB",24,0,"Ole Miss","CAR"
"113","Andy Dalton","QB",35,12,"TCU","CAR"
"114","Jake Luton","QB",27,3,"Oregon State","CAR"
"115","Bryce Young","QB",22,0,"Alabama","CAR"
"116","Raheem Blackshear","RB",25,2,"Virginia Tech","CAR"
"117","Spencer Brown","RB",24,1,"UAB","CAR"
"118","Chuba Hubbard","RB",24,3,"Oklahoma State","CAR"
"119","Camerun Peoples","RB",23,0,"Appalachian State","CAR"
"120","Miles Sanders","RB",26,5,"Penn State","CAR"
"121","Damiere Byrd","WR",30,7,"South Carolina","CAR"
"122","DJ Chark Jr.","WR",26,6,"LSU","CAR"
"123","Gary Jennings","WR",26,2,"West Virginia","CAR"
"124","Terrace Marshall Jr.","WR",23,3,"LSU","CAR"
"125","Jonathan Mingo","WR",22,0,"Ole Miss","CAR"
"126","C.J. Saunders","WR",26,1,"Ohio State","CAR"
"127","Laviska Shenault Jr.","WR",24,4,"Colorado","CAR"
"128","Shi Smith","WR",24,3,"South Carolina","CAR"
"129","Adam Thielen","WR",32,10,"Minnesota State Moorhead","CAR"
"130","Josh Vann","WR",23,0,"South Carolina","CAR"
"131","Javon Wims","WR",28,4,"Georgia","CAR"
"132","Derek Wright","WR",24,1,"Utah State","CAR"
"133","Hayden Hurst","TE",29,6,"South Carolina","CAR"
"134","Giovanni Ricci","TE",26,3,"Western Michigan","CAR"
"135","Stephen Sullivan","TE",26,2,"LSU","CAR"
"136","Ian Thomas","TE",27,6,"Indiana","CAR"
"137","Tommy Tremble","TE",23,3,"Notre Dame","CAR"
"138","Tyson Bagent","QB",23,0,"Shepherd","CHI"
"139","Justin Fields","QB",24,3,"Ohio State","CHI"
"140","Nathan Peterman","QB",29,7,"Pittsburgh","CHI"
"141","PJ Walker","QB",28,4,"Temple","CHI"
"142","Trestan Ebner","RB",24,2,"Baylor","CHI"
"143","D'Onta Foreman","RB",27,6,"Texas","CHI"
"144","Khalil Herbert","RB",25,3,"Virginia Tech","CHI"
"145","Travis Homer","RB",25,5,"Miami","CHI"
"146","Roschon Johnson","RB",22,0,"Texas","CHI"
"147","Chase Claypool","WR",25,4,"Notre Dame","CHI"
"148","Isaiah Ford","WR",27,5,"Virginia Tech","CHI"
"149","Daurice Fountain","WR",27,4,"Northern Iowa","CHI"
"150","Velus Jones Jr.","WR",26,2,"Tennessee","CHI"
"151","Darnell Mooney","WR",25,4,"Tulane","CHI"
"152","DJ Moore","WR",26,6,"Maryland","CHI"
"153","Dante Pettis","WR",27,6,"Washington","CHI"
"154","Joe Reed","WR",25,2,"Virginia","CHI"
"155","Tyler Scott","WR",21,0,"Cincinnati","CHI"
"156","Equanimeous St. Brown","WR",26,6,"Notre Dame","CHI"
"157","Nsimba Webster","WR",27,4,"Eastern Washington","CHI"
"158","Stephen Carlson","TE",26,4,"Princeton","CHI"
"159","Cole Kmet","TE",24,4,"Notre Dame","CHI"
"160","Marcedes Lewis","TE",39,18,"UCLA","CHI"
"161","Jared Pinkney","TE",25,4,"Vanderbilt","CHI"
"162","Lachlan Pitts","TE",NA,0,"William & Mary","CHI"
"163","Jake Tonges","TE",24,2,"California","CHI"
"164","Robert Tonyan","TE",29,6,"Indiana State","CHI"
"165","Jake Browning","QB",27,1,"Washington","CIN"
"166","Joe Burrow","QB",26,4,"LSU","CIN"
"167","Trevor Siemian","QB",31,8,"Northwestern","CIN"
