Name,POS,Age,Exp,College,team
Carson Beck,QB,23,0,--,ARI
Gardner Minshew,QB,29,7,Washington State,ARI
Jacoby Brissett,QB,33,10,N.C. State; Florida,ARI
Kedon Slovis,QB,25,2,BYU; Pittsburgh; USC,ARI
Bam Knight,RB,25,4,N.C. State,ARI
Corey Kiner,RB,24,1,Cincinnati; LSU,ARI
James Conner,RB,31,9,Pittsburgh,ARI
Trey Benson,RB,23,2,Florida State; Oregon,ARI
Tyler Allgeier,RB,26,4,BYU,ARI
Elijah Higgins,TE,25,3,Stanford,ARI
Josiah Deguara,TE,29,6,Cincinnati,ARI
Pharaoh Brown,TE,32,9,Oregon,ARI
Rivaldo Fairweather,TE,23,1,Auburn; Florida International,ARI
Teagan Quitoriano,TE,26,4,Oregon State,ARI
Tip Reiman,TE,24,2,Illinois,ARI
Trey McBride,TE,26,4,Colorado State,ARI
Andre Baccellia,WR,29,5,Washington,ARI
Bryson Green,WR,23,1,Wisconsin; Oklahoma State,ARI
Devin Duvernay,WR,28,6,Texas,ARI
Ihmir Smith-Marsette,WR,26,5,Iowa,ARI
Jalen Brooks,WR,26,3,South Carolina; Tarleton State; Wingate,ARI
Kendrick Bourne,WR,30,9,Eastern Washington,ARI
Marvin Harrison Jr.,WR,23,2,Ohio State,ARI
Michael Wilson,WR,26,3,Stanford,ARI
Simi Fehoko,WR,28,5,Stanford,ARI
Tejhaun Palmer,WR,25,2,UAB,ARI
Xavier Weaver,WR,25,2,Colorado; University of South Florida,ARI
Zay Jones,WR,31,9,East Carolina,ARI
Easton Stick,QB,30,7,North Dakota State,ATL
Emory Jones,QB,26,2,Cincinnati; Arizona State; Florida,ATL
Michael Penix Jr.,QB,26,2,Washington; Indiana,ATL
Trevor Siemian,QB,34,11,Northwestern,ATL
Tua Tagovailoa,QB,28,6,Alabama,ATL
Bijan Robinson,RB,24,3,Texas,ATL
Brian Robinson,RB,27,4,Alabama,ATL
Carlos Washington,RB,27,3,Southeastern Louisiana,ATL
Nate Carter,RB,23,1,Michigan State; Connecticut,ATL
Tyler Goodson,RB,25,4,Iowa,ATL
Austin Hooper,TE,31,10,Stanford,ATL
Charlie Woerner,TE,28,6,Georgia,ATL
Joshua Simon,TE,25,1,South Carolina; Western Kentucky,ATL
Kyle Pitts,TE,25,5,Florida,ATL
Casey Washington,WR,25,2,Illinois,ATL
Chris Blair,WR,28,5,Alcorn State,ATL
Deven Thompkins,WR,26,4,Utah State,ATL
Drake London,WR,24,4,USC,ATL
