"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","M.Mariota",300,184,"61.33%",2219,15,9,438,4,3,196.56,13,213.275,NA,NA,NA,NA,NA,NA,NA
"2","D.Ridder",115,73,"63.48%",708,2,0,64,0,2,38.72,4,36.1,NA,NA,NA,NA,NA,NA,NA
"3","T.Allgeier",NA,NA,NA,NA,NA,NA,1035,3,0,143.4,16,NA,210,16,139,NA,NA,NA,NA
"4","C.Patterson",NA,NA,NA,NA,NA,NA,695,8,1,133.7,13,NA,144,21,122,NA,NA,NA,NA
"5","C.Huntley",NA,NA,NA,NA,NA,NA,366,1,0,42.9,12,NA,76,2,3,NA,NA,NA,NA
"6","A.Williams",NA,NA,NA,NA,NA,NA,109,1,0,23,14,NA,22,13,61,NA,NA,NA,NA
"7","K.Pitts",NA,NA,NA,NA,NA,NA,NA,0,0,NA,10,NA,0,28,NA,356,2,0,75.6
"8","M.Pruitt",NA,NA,NA,NA,NA,NA,NA,0,0,NA,10,NA,0,16,NA,150,4,0,55
"9","A.Firkser",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,9,NA,100,0,0,19
"10","P.Hesse",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,9,NA,89,0,0,17.9
"11","F.Franks",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,1,0,NA,0,0,0,0
