"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","L.Jackson",326,203,"62.27%",2242,17,7,764,3,2,236.08,12,252.45,NA,NA,NA,NA,NA,NA,NA
"2","T.Huntley",112,75,"66.96%",658,2,3,137,1,0,50.02,5,48.15,NA,NA,NA,NA,NA,NA,NA
"3","A.Brown",49,22,"44.90%",302,0,2,-5,0,1,5.58,2,7.05,NA,NA,NA,NA,NA,NA,NA
"4","K.Drake",NA,NA,NA,NA,NA,NA,482,4,0,87.1,12,NA,109,17,89,NA,NA,NA,NA
"5","J.Dobbins",NA,NA,NA,NA,NA,NA,520,2,0,74.2,8,NA,92,7,42,NA,NA,NA,NA
"6","G.Edwards",NA,NA,NA,NA,NA,NA,433,3,1,59.3,9,NA,87,0,0,NA,NA,NA,NA
"7","J.Hill",NA,NA,NA,NA,NA,NA,262,0,1,30,13,NA,49,12,58,NA,NA,NA,NA
"8","M.Davis",NA,NA,NA,NA,NA,NA,18,0,0,2.2,5,NA,8,2,4,NA,NA,NA,NA
"9","M.Andrews",NA,NA,NA,NA,NA,NA,NA,0,0,NA,15,NA,3,73,NA,847,5,8,190.5
"10","I.Likely",NA,NA,NA,NA,NA,NA,NA,0,0,NA,14,NA,0,36,NA,373,3,0,91.3
"11","J.Oliver",NA,NA,NA,NA,NA,NA,NA,0,0,NA,12,NA,0,14,NA,149,2,0,40.9
"12","C.Kolar",NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,4,NA,49,0,0,8.9
