"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","S.Darnold",140,82,"58.57%",1143,7,3,106,2,2,86.32,6,93.175,NA,NA,NA,NA,NA,NA,NA
"2","B.Mayfield",206,119,"57.77%",1313,6,6,52,1,1,73.72,7,80.025,NA,NA,NA,NA,NA,NA,NA
"3","P.Walker",106,63,"59.43%",731,3,3,39,0,0,39.14,6,40.175,NA,NA,NA,NA,NA,NA,NA
"4","J.Eason",5,3,"60.00%",59,0,1,0,0,0,0.36,1,1.475,NA,NA,NA,NA,NA,NA,NA
"5","D.Foreman",NA,NA,NA,NA,NA,NA,914,5,0,126,16,NA,203,5,26,NA,NA,NA,NA
"6","C.McCaffrey",NA,NA,NA,NA,NA,NA,393,2,0,85,6,NA,85,33,277,NA,NA,NA,NA
"7","C.Hubbard",NA,NA,NA,NA,NA,NA,466,2,0,75.7,12,NA,95,14,171,NA,NA,NA,NA
"8","R.Blackshear",NA,NA,NA,NA,NA,NA,77,3,0,35,10,NA,23,10,93,NA,NA,NA,NA
"9","S.Brown",NA,NA,NA,NA,NA,NA,43,0,0,5.3,2,NA,9,2,10,NA,NA,NA,NA
"10","T.Tremble",NA,NA,NA,NA,NA,NA,NA,0,0,NA,14,NA,0,19,NA,174,3,0,54.4
"11","I.Thomas",NA,NA,NA,NA,NA,NA,NA,0,0,NA,13,NA,0,21,NA,197,0,0,40.7
"12","G.Ricci",NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,0,8,NA,100,0,0,18
"13","S.Sullivan",NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,0,2,NA,46,0,0,6.6
