"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Fields",318,192,"60.38%",2242,17,11,1143,8,2,295.98,15,320.35,NA,NA,NA,NA,NA,NA,NA
"2","T.Siemian",26,15,"57.69%",184,1,1,8,0,0,10.16,2,11.4,NA,NA,NA,NA,NA,NA,NA
"3","N.Peterman",25,14,"56.00%",139,1,1,7,0,0,8.26,3,10.175,NA,NA,NA,NA,NA,NA,NA
"4","T.Boyle",8,2,"25.00%",33,0,2,-2,0,0,-2.88,1,0.625,NA,NA,NA,NA,NA,NA,NA
"5","D.Montgomery",NA,NA,NA,NA,NA,NA,801,5,2,143.7,16,NA,201,34,316,NA,NA,NA,NA
"6","K.Herbert",NA,NA,NA,NA,NA,NA,731,4,0,108.8,13,NA,129,9,57,NA,NA,NA,NA
"7","D.Evans",NA,NA,NA,NA,NA,NA,64,0,0,9.7,3,NA,14,1,33,NA,NA,NA,NA
"8","T.Ebner",NA,NA,NA,NA,NA,NA,54,0,0,6,7,NA,24,1,6,NA,NA,NA,NA
"9","C.Kmet",NA,NA,NA,NA,NA,NA,NA,0,0,NA,17,NA,2,50,NA,544,7,9,147.3
"10","R.Griffin",NA,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,0,4,NA,26,0,0,6.6
"11","T.Wesco",NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,0,2,NA,26,0,0,6.6
"12","J.Tonges",NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0
