"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","R.Wilson",483,292,"60.46%",3524,16,11,277,3,2,224.76,15,229.8,NA,NA,NA,NA,NA,NA,NA
"2","B.Rypien",88,53,"60.23%",483,2,4,7,0,1,18.02,4,24.775,NA,NA,NA,NA,NA,NA,NA
"3","L.Murray",NA,NA,NA,NA,NA,NA,703,5,0,114.7,12,NA,160,26,124,NA,NA,NA,NA
"4","M.Gordon",NA,NA,NA,NA,NA,NA,318,2,2,62.1,10,NA,90,25,223,NA,NA,NA,NA
"5","M.Mack",NA,NA,NA,NA,NA,NA,84,1,0,30.3,5,NA,16,8,99,NA,NA,NA,NA
"6","J.Williams",NA,NA,NA,NA,NA,NA,204,0,1,26,4,NA,47,16,76,NA,NA,NA,NA
"7","M.Boone",NA,NA,NA,NA,NA,NA,102,0,0,19.8,8,NA,24,9,96,NA,NA,NA,NA
"8","C.Edmonds",NA,NA,NA,NA,NA,NA,125,0,0,18.6,5,NA,26,6,61,NA,NA,NA,NA
"9","G.Dulcich",NA,NA,NA,NA,NA,NA,NA,0,0,NA,10,NA,0,33,NA,411,2,0,86.1
"10","E.Saubert",NA,NA,NA,NA,NA,NA,NA,0,0,NA,11,NA,0,15,NA,148,1,0,35.8
"11","E.Tomlinson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,9,NA,79,2,0,28.9
"12","A.Okwuegbunam",NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,0,10,NA,95,1,0,25.5
"13","A.Beck",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,2,5,NA,69,0,0,11.9
