"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Goff",587,382,"65.08%",4438,29,7,73,0,4,283.32,17,292.25,NA,NA,NA,NA,NA,NA,NA
"2","N.Sudfeld",0,0,NA,0,0,0,-4,0,0,-0.4,2,-0.4,NA,NA,NA,NA,NA,NA,NA
"3","J.Williams",NA,NA,NA,NA,NA,NA,1066,17,2,213.9,17,NA,262,12,73,NA,NA,NA,NA
"4","D.Swift",NA,NA,NA,NA,NA,NA,542,5,0,143.1,14,NA,99,48,389,NA,NA,NA,NA
"5","J.Jackson",NA,NA,NA,NA,NA,NA,170,1,0,39.1,12,NA,42,12,101,NA,NA,NA,NA
"6","C.Reynolds",NA,NA,NA,NA,NA,NA,102,0,0,21.8,6,NA,23,9,116,NA,NA,NA,NA
"7","T.Hockenson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,0,26,NA,395,3,0,85.5
"8","B.Wright",NA,NA,NA,NA,NA,NA,NA,0,0,NA,13,NA,0,18,NA,216,4,0,63.6
"9","S.Zylstra",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,11,NA,60,4,0,41
"10","J.Mitchell",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,11,NA,113,1,0,28.3
