"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","D.Mills",479,292,"60.96%",3118,17,15,108,2,3,181.52,15,202.75,NA,NA,NA,NA,NA,NA,NA
"2","J.Driskel",20,14,"70.00%",108,1,0,75,0,0,16.22,7,16.2,NA,NA,NA,NA,NA,NA,NA
"3","K.Allen",78,46,"58.97%",416,2,4,13,0,1,15.94,2,23.7,NA,NA,NA,NA,NA,NA,NA
"4","D.Pierce",NA,NA,NA,NA,NA,NA,939,4,2,136.4,13,NA,220,30,165,NA,NA,NA,NA
"5","R.Burkhead",NA,NA,NA,NA,NA,NA,80,0,0,34.4,15,NA,26,37,204,NA,NA,NA,NA
"6","D.Ogunbowale",NA,NA,NA,NA,NA,NA,123,1,0,28.7,11,NA,42,20,104,NA,NA,NA,NA
"7","R.Freeman",NA,NA,NA,NA,NA,NA,117,0,1,13,4,NA,41,6,33,NA,NA,NA,NA
"8","J.Akins",NA,NA,NA,NA,NA,NA,NA,0,1,NA,15,NA,0,37,NA,495,5,0,116.5
"9","O.Howard",NA,NA,NA,NA,NA,NA,NA,0,0,NA,11,NA,0,10,NA,145,2,0,36.5
"10","T.Quitoriano",NA,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,0,7,NA,113,2,0,30.3
"11","B.Jordan",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,14,NA,128,0,0,26.8
"12","P.Brown",NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,0,7,NA,72,0,0,14.2
"13","M.Schreck",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,2,NA,6,0,0,2.6
