"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","M.Ryan",461,309,"67.03%",3057,14,13,70,1,5,155.28,12,173.425,NA,NA,NA,NA,NA,NA,NA
"2","S.Ehlinger",101,64,"63.37%",573,3,3,87,0,1,35.62,4,41.025,NA,NA,NA,NA,NA,NA,NA
"3","N.Foles",42,25,"59.52%",224,0,4,8,0,0,1.76,2,6.4,NA,NA,NA,NA,NA,NA,NA
"4","J.Taylor",NA,NA,NA,NA,NA,NA,861,4,3,118.4,11,NA,192,28,143,NA,NA,NA,NA
"5","D.Jackson",NA,NA,NA,NA,NA,NA,236,1,1,54.5,12,NA,68,30,209,NA,NA,NA,NA
"6","Z.Moss",NA,NA,NA,NA,NA,NA,365,1,0,43.7,8,NA,76,4,12,NA,NA,NA,NA
"7","N.Hines",NA,NA,NA,NA,NA,NA,36,1,0,28.4,7,NA,18,25,188,NA,NA,NA,NA
"8","P.Lindsay",NA,NA,NA,NA,NA,NA,49,0,0,8.8,3,NA,15,6,19,NA,NA,NA,NA
"9","J.Wilkins",NA,NA,NA,NA,NA,NA,58,0,0,8.7,4,NA,13,6,29,NA,NA,NA,NA
"10","J.Woods",NA,NA,NA,NA,NA,NA,NA,0,0,NA,12,NA,0,25,NA,312,3,0,74.2
"11","K.Granson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,13,NA,1,31,NA,302,0,0,61.2
"12","M.Alie-Cox",NA,NA,NA,NA,NA,NA,NA,0,1,NA,14,NA,0,19,NA,189,3,0,53.9
