"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","T.Lawrence",584,387,"66.27%",4113,25,8,291,5,9,295.62,17,311.925,NA,NA,NA,NA,NA,NA,NA
"2","C.Beathard",11,7,"63.64%",35,0,1,-4,0,0,-1,4,0.475,NA,NA,NA,NA,NA,NA,NA
"3","T.Etienne",NA,NA,NA,NA,NA,NA,1125,5,4,168.1,17,NA,220,35,316,NA,NA,NA,NA
"4","J.Robinson",NA,NA,NA,NA,NA,NA,340,3,0,62.6,7,NA,81,9,46,NA,NA,NA,NA
"5","J.Hasty",NA,NA,NA,NA,NA,NA,194,2,0,50,14,NA,46,20,126,NA,NA,NA,NA
"6","S.Conner",NA,NA,NA,NA,NA,NA,42,1,0,10.2,5,NA,12,0,0,NA,NA,NA,NA
"7","E.Engram",NA,NA,NA,NA,NA,NA,NA,0,0,NA,17,NA,2,73,NA,766,4,13,176.9
"8","D.Arnold",NA,NA,NA,NA,NA,NA,NA,0,0,NA,10,NA,0,9,NA,135,0,0,22.5
"9","C.Manhertz",NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,0,6,NA,42,0,0,10.2
"10","L.Farrell",NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,0,4,NA,40,0,0,8
