"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","P.Mahomes",648,435,"67.13%",5250,41,12,358,4,0,416.4,17,437.05,NA,NA,NA,NA,NA,NA,NA
"2","C.Henne",2,0,"0.00%",0,0,0,-5,0,0,-0.5,2,-0.5,NA,NA,NA,NA,NA,NA,NA
"3","J.McKinnon",NA,NA,NA,NA,NA,NA,291,1,1,140.3,17,NA,72,56,512,NA,NA,NA,NA
"4","I.Pacheco",NA,NA,NA,NA,NA,NA,830,5,2,122,17,NA,170,13,130,NA,NA,NA,NA
"5","C.Edwards-Helaire",NA,NA,NA,NA,NA,NA,302,3,0,81.3,10,NA,71,17,151,NA,NA,NA,NA
"6","R.Jones",NA,NA,NA,NA,NA,NA,70,1,0,15.2,5,NA,17,1,22,NA,NA,NA,NA
"7","T.Kelce",NA,NA,NA,NA,NA,NA,NA,0,1,NA,17,NA,2,110,NA,1338,12,5,316.3
"8","N.Gray",NA,NA,NA,NA,NA,NA,NA,1,0,NA,17,NA,1,28,NA,299,1,1,70
"9","J.Fortson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,9,NA,108,2,0,31.8
"10","B.Bell",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,2,NA,20,1,0,10
