"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Herbert",699,477,"68.24%",4739,25,10,147,0,3,279.26,17,283.175,NA,NA,NA,NA,NA,NA,NA
"2","C.Daniel",12,8,"66.67%",52,1,0,4,0,0,8.48,3,7.7,NA,NA,NA,NA,NA,NA,NA
"3","A.Ekeler",NA,NA,NA,NA,NA,NA,915,13,3,265.7,17,NA,204,107,722,NA,NA,NA,NA
"4","J.Kelley",NA,NA,NA,NA,NA,NA,287,2,0,50.8,12,NA,69,14,101,NA,NA,NA,NA
"5","S.Michel",NA,NA,NA,NA,NA,NA,106,0,0,15.9,10,NA,36,9,53,NA,NA,NA,NA
"6","I.Spiller",NA,NA,NA,NA,NA,NA,41,0,0,5.4,5,NA,18,3,13,NA,NA,NA,NA
"7","L.Rountree",NA,NA,NA,NA,NA,NA,19,0,0,3.3,2,NA,13,2,14,NA,NA,NA,NA
"8","G.Everett",NA,NA,NA,NA,NA,NA,NA,0,0,NA,15,NA,1,58,NA,555,4,0,139.5
"9","D.Parham",NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,0,10,NA,130,1,0,29
"10","T.McKitty",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,10,NA,72,0,0,17.2
"11","S.Smartt",NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,0,4,NA,17,0,0,5.7
"12","R.Rodgers",NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,0,1,NA,4,0,0,1.4
