"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","T.Tagovailoa",400,259,"64.75%",3548,25,8,70,0,1,230.92,13,245.7,NA,NA,NA,NA,NA,NA,NA
"2","T.Bridgewater",79,49,"62.03%",683,4,4,27,0,0,38.02,5,43.775,NA,NA,NA,NA,NA,NA,NA
"3","S.Thompson",105,60,"57.14%",534,1,3,21,0,2,17.46,7,21.45,NA,NA,NA,NA,NA,NA,NA
"4","R.Mostert",NA,NA,NA,NA,NA,NA,891,3,1,137.3,16,NA,181,31,202,NA,NA,NA,NA
"5","J.Wilson",NA,NA,NA,NA,NA,NA,392,3,0,72.6,8,NA,84,12,94,NA,NA,NA,NA
"6","C.Edmonds",NA,NA,NA,NA,NA,NA,120,2,0,39.6,8,NA,42,10,96,NA,NA,NA,NA
"7","S.Ahmed",NA,NA,NA,NA,NA,NA,64,1,0,13.2,6,NA,12,1,8,NA,NA,NA,NA
"8","M.Gaskin",NA,NA,NA,NA,NA,NA,26,0,0,5.4,2,NA,10,4,28,NA,NA,NA,NA
"9","M.Gesicki",NA,NA,NA,NA,NA,NA,NA,0,0,NA,17,NA,0,32,NA,362,5,0,98.2
"10","D.Smythe",NA,NA,NA,NA,NA,NA,NA,1,0,NA,12,NA,2,15,NA,129,1,1,40
