"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","K.Cousins",643,424,"65.94%",4547,29,14,97,2,3,291.58,17,309.375,NA,NA,NA,NA,NA,NA,NA
"2","N.Mullens",25,21,"84.00%",224,1,1,8,0,0,11.76,4,12.4,NA,NA,NA,NA,NA,NA,NA
"3","D.Cook",NA,NA,NA,NA,NA,NA,1173,8,3,198.8,17,NA,264,39,295,NA,NA,NA,NA
"4","A.Mattison",NA,NA,NA,NA,NA,NA,283,5,0,73.4,17,NA,74,15,91,NA,NA,NA,NA
"5","K.Nwangwu",NA,NA,NA,NA,NA,NA,14,0,0,9.5,3,NA,9,2,21,NA,NA,NA,NA
"6","T.Chandler",NA,NA,NA,NA,NA,NA,20,0,0,2,1,NA,6,0,0,NA,NA,NA,NA
"7","T.Hockenson",NA,NA,NA,NA,NA,NA,NA,0,1,NA,10,NA,0,60,NA,519,3,0,129.9
"8","I.Smith",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,25,NA,182,2,0,55.2
"9","J.Mundt",NA,NA,NA,NA,NA,NA,NA,0,0,NA,13,NA,0,19,NA,140,1,0,39
"10","B.Ellefson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,3,NA,26,0,0,5.6
