"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","M.Jones",442,288,"65.16%",2997,14,11,102,1,1,170.08,14,175.125,NA,NA,NA,NA,NA,NA,NA
"2","B.Zappe",92,65,"70.65%",781,5,3,0,0,3,38.64,4,49.525,NA,NA,NA,NA,NA,NA,NA
"3","B.Hoyer",6,5,"83.33%",37,0,0,0,0,0,1.48,1,0.925,NA,NA,NA,NA,NA,NA,NA
"4","R.Stevenson",NA,NA,NA,NA,NA,NA,1040,5,1,180.1,17,NA,210,69,421,NA,NA,NA,NA
"5","D.Harris",NA,NA,NA,NA,NA,NA,462,3,0,73.9,11,NA,106,17,97,NA,NA,NA,NA
"6","P.Strong",NA,NA,NA,NA,NA,NA,100,1,0,20.2,4,NA,10,7,42,NA,NA,NA,NA
"7","K.Harris",NA,NA,NA,NA,NA,NA,52,1,0,11.2,5,NA,18,0,0,NA,NA,NA,NA
"8","J.Taylor",NA,NA,NA,NA,NA,NA,9,0,0,1.7,1,NA,10,1,8,NA,NA,NA,NA
"9","H.Henry",NA,NA,NA,NA,NA,NA,NA,0,0,NA,16,NA,0,41,NA,509,2,0,103.9
"10","J.Smith",NA,NA,NA,NA,NA,NA,NA,0,0,NA,12,NA,1,27,NA,245,0,5,52
