"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","A.Dalton",378,252,"66.67%",2871,18,9,54,0,1,174.24,14,185.175,NA,NA,NA,NA,NA,NA,NA
"2","J.Winston",115,73,"63.48%",858,4,5,16,0,0,43.92,3,47.05,NA,NA,NA,NA,NA,NA,NA
"3","A.Kamara",NA,NA,NA,NA,NA,NA,897,2,4,154.7,15,NA,223,57,490,NA,NA,NA,NA
"4","M.Ingram",NA,NA,NA,NA,NA,NA,233,1,2,34.1,10,NA,62,16,68,NA,NA,NA,NA
"5","L.Murray",NA,NA,NA,NA,NA,NA,57,1,0,12.5,1,NA,11,1,8,NA,NA,NA,NA
"6","D.Johnson",NA,NA,NA,NA,NA,NA,24,0,1,5.1,4,NA,12,4,47,NA,NA,NA,NA
"7","D.Washington",NA,NA,NA,NA,NA,NA,38,0,0,4.5,3,NA,11,1,7,NA,NA,NA,NA
"8","T.Hill",NA,NA,NA,NA,NA,NA,NA,7,0,NA,16,NA,96,9,NA,77,2,575,145.8
"9","J.Johnson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,16,NA,0,42,NA,508,7,0,134.8
"10","A.Trautman",NA,NA,NA,NA,NA,NA,NA,0,0,NA,12,NA,0,18,NA,207,1,0,44.7
"11","N.Vannett",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,2,NA,13,0,0,3.3
