"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","D.Jones",472,317,"67.16%",3205,15,5,708,7,3,289,16,282.925,NA,NA,NA,NA,NA,NA,NA
"2","D.Webb",40,23,"57.50%",168,1,0,41,1,0,20.82,1,20.3,NA,NA,NA,NA,NA,NA,NA
"3","T.Taylor",8,6,"75.00%",58,1,1,70,0,1,11.32,2,14.45,NA,NA,NA,NA,NA,NA,NA
"4","S.Barkley",NA,NA,NA,NA,NA,NA,1312,10,0,227,16,NA,295,57,338,NA,NA,NA,NA
"5","M.Breida",NA,NA,NA,NA,NA,NA,220,1,0,39.8,17,NA,54,20,118,NA,NA,NA,NA
"6","G.Brightwell",NA,NA,NA,NA,NA,NA,141,1,0,24,8,NA,31,5,39,NA,NA,NA,NA
"7","D.Bellinger",NA,NA,NA,NA,NA,NA,NA,1,1,NA,11,NA,1,30,NA,268,2,2,75
"8","L.Cager",NA,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,0,13,NA,118,1,0,30.8
"9","T.Hudson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,NA,0,10,NA,132,0,0,23.2
"10","C.Myarick",NA,NA,NA,NA,NA,NA,NA,0,0,NA,7,NA,0,7,NA,65,1,0,19.5
"11","N.Vannett",NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,0,4,NA,42,0,0,8.2
