"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","Z.Wilson",242,132,"54.55%",1688,6,7,102,1,1,97.92,9,94.4,NA,NA,NA,NA,NA,NA,NA
"2","M.White",175,103,"58.86%",1192,3,4,9,1,1,56.58,4,54.7,NA,NA,NA,NA,NA,NA,NA
"3","J.Flacco",191,110,"57.59%",1051,5,3,6,0,4,47.04,5,56.875,NA,NA,NA,NA,NA,NA,NA
"4","C.Streveler",15,10,"66.67%",90,0,0,54,0,0,9,1,7.65,NA,NA,NA,NA,NA,NA,NA
"5","B.Hall",NA,NA,NA,NA,NA,NA,463,4,1,96.1,7,NA,80,19,218,NA,NA,NA,NA
"6","M.Carter",NA,NA,NA,NA,NA,NA,402,3,1,85,16,NA,114,41,288,NA,NA,NA,NA
"7","Z.Knight",NA,NA,NA,NA,NA,NA,300,1,0,46,7,NA,85,13,100,NA,NA,NA,NA
"8","T.Johnson",NA,NA,NA,NA,NA,NA,160,1,0,30.8,10,NA,30,12,88,NA,NA,NA,NA
"9","J.Robinson",NA,NA,NA,NA,NA,NA,85,0,0,15,4,NA,29,2,5,NA,NA,NA,NA
"10","T.Conklin",NA,NA,NA,NA,NA,NA,NA,0,0,NA,17,NA,2,58,NA,552,3,3,131.5
"11","C.Uzomah",NA,NA,NA,NA,NA,NA,NA,0,0,NA,12,NA,0,21,NA,232,2,0,56.2
"12","J.Ruckert",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,1,NA,8,0,0,1.8
"13","L.Cager",NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0
