"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","G.Smith",572,399,"69.76%",4282,30,11,366,1,4,303.88,17,329.65,NA,NA,NA,NA,NA,NA,NA
"2","K.Walker",NA,NA,NA,NA,NA,NA,1050,9,0,175.5,15,NA,228,27,165,NA,NA,NA,NA
"3","R.Penny",NA,NA,NA,NA,NA,NA,346,2,0,48.2,5,NA,57,4,16,NA,NA,NA,NA
"4","D.Dallas",NA,NA,NA,NA,NA,NA,186,0,0,29.2,11,NA,35,17,126,NA,NA,NA,NA
"5","T.Homer",NA,NA,NA,NA,NA,NA,74,0,1,27.1,8,NA,19,16,157,NA,NA,NA,NA
"6","T.Jones",NA,NA,NA,NA,NA,NA,16,0,0,3.4,2,NA,8,3,18,NA,NA,NA,NA
"7","N.Fant",NA,NA,NA,NA,NA,NA,NA,0,0,NA,17,NA,0,50,NA,486,4,0,122.6
"8","W.Dissly",NA,NA,NA,NA,NA,NA,NA,0,0,NA,15,NA,0,34,NA,349,3,0,86.9
"9","C.Parkinson",NA,NA,NA,NA,NA,NA,NA,0,0,NA,14,NA,0,25,NA,322,2,0,69.2
"10","T.Mabry",NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,1,NA,7,1,0,7.7
