"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Garoppolo",308,207,"67.21%",2437,16,4,33,2,2,164.78,11,172.225,NA,NA,NA,NA,NA,NA,NA
"2","B.Purdy",170,114,"67.06%",1374,13,4,13,1,0,106.26,9,119.65,NA,NA,NA,NA,NA,NA,NA
"3","T.Lance",31,15,"48.39%",194,0,1,67,0,0,12.46,2,11.55,NA,NA,NA,NA,NA,NA,NA
"4","J.Johnson",2,1,"50.00%",10,0,0,3,0,0,0.7,1,0.55,NA,NA,NA,NA,NA,NA,NA
"5","C.McCaffrey",NA,NA,NA,NA,NA,NA,746,6,0,186.36,11,NA,159,52,464,NA,NA,NA,NA
"6","J.Wilson",NA,NA,NA,NA,NA,NA,468,2,2,63.9,8,NA,92,10,91,NA,NA,NA,NA
"7","E.Mitchell",NA,NA,NA,NA,NA,NA,279,2,0,40.6,5,NA,45,3,7,NA,NA,NA,NA
"8","J.Mason",NA,NA,NA,NA,NA,NA,258,1,0,31.8,8,NA,43,0,0,NA,NA,NA,NA
"9","T.Coleman",NA,NA,NA,NA,NA,NA,26,1,0,19,2,NA,12,3,44,NA,NA,NA,NA
"10","T.Davis-Price",NA,NA,NA,NA,NA,NA,99,0,0,9.9,5,NA,34,0,0,NA,NA,NA,NA
"11","G.Kittle",NA,NA,NA,NA,NA,NA,NA,0,1,NA,15,NA,0,60,NA,765,11,0,200.5
"12","R.Dwelley",NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,0,3,NA,105,1,0,19.5
"13","T.Kroft",NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,0,4,NA,57,0,0,9.7
"14","C.Woerner",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,0,NA,0,0,0,0
