"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","T.Brady",733,490,"66.85%",4694,25,9,-1,1,4,271.66,17,273.25,NA,NA,NA,NA,NA,NA,NA
"2","B.Gabbert",8,6,"75.00%",29,1,0,0,0,0,5.16,1,6.725,NA,NA,NA,NA,NA,NA,NA
"3","K.Trask",9,3,"33.33%",23,0,0,0,0,0,0.92,1,0.575,NA,NA,NA,NA,NA,NA,NA
"4","L.Fournette",NA,NA,NA,NA,NA,NA,668,3,0,153.1,16,NA,189,73,523,NA,NA,NA,NA
"5","R.White",NA,NA,NA,NA,NA,NA,481,1,2,91.1,16,NA,129,50,290,NA,NA,NA,NA
"6","K.Vaughn",NA,NA,NA,NA,NA,NA,53,0,0,7.2,5,NA,17,3,19,NA,NA,NA,NA
"7","G.Bernard",NA,NA,NA,NA,NA,NA,28,0,0,2.7,2,NA,8,2,-1,NA,NA,NA,NA
"8","C.Otton",NA,NA,NA,NA,NA,NA,NA,0,0,NA,14,NA,0,42,NA,391,2,0,93.1
"9","C.Brate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,20,NA,174,0,0,37.4
"10","K.Kieft",NA,NA,NA,NA,NA,NA,NA,0,0,NA,8,NA,0,7,NA,80,1,0,21
"11","K.Rudolph",NA,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,0,3,NA,28,1,0,11.8
