"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","R.Tannehill",325,212,"65.23%",2536,14,6,98,2,2,165.24,12,169.2,NA,NA,NA,NA,NA,NA,NA
"2","J.Dobbs",68,40,"58.82%",411,2,2,44,0,2,20.84,2,26.675,NA,NA,NA,NA,NA,NA,NA
"3","M.Willis",61,31,"50.82%",276,0,3,123,1,2,19.34,7,25.2,NA,NA,NA,NA,NA,NA,NA
"4","D.Henry",NA,NA,NA,NA,NA,NA,1538,13,3,269.76,16,NA,349,33,398,NA,NA,NA,NA
"5","D.Hilliard",NA,NA,NA,NA,NA,NA,145,0,0,56.2,11,NA,22,21,177,NA,NA,NA,NA
"6","H.Haskins",NA,NA,NA,NA,NA,NA,93,0,0,15,7,NA,25,11,57,NA,NA,NA,NA
"7","J.Chestnut",NA,NA,NA,NA,NA,NA,12,0,0,5.3,3,NA,9,3,41,NA,NA,NA,NA
"8","A.Hooper",NA,NA,NA,NA,NA,NA,NA,0,0,NA,17,NA,0,41,NA,444,2,0,97.4
"9","C.Okonkwo",NA,NA,NA,NA,NA,NA,NA,0,0,NA,15,NA,3,32,NA,450,3,2,97.2
"10","G.Swaim",NA,NA,NA,NA,NA,NA,NA,0,0,NA,11,NA,0,12,NA,58,1,0,23.8
