"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","T.Heinicke",259,161,"62.16%",1859,12,6,96,1,5,115.96,9,134.075,NA,NA,NA,NA,NA,NA,NA
"2","C.Wentz",276,172,"62.32%",1755,11,9,86,1,1,112.8,8,124.475,NA,NA,NA,NA,NA,NA,NA
"3","S.Howell",19,11,"57.89%",169,1,1,35,1,0,18.26,1,19.725,NA,NA,NA,NA,NA,NA,NA
"4","A.Gibson",NA,NA,NA,NA,NA,NA,546,3,0,119.9,15,NA,149,46,353,NA,NA,NA,NA
"5","B.Robinson",NA,NA,NA,NA,NA,NA,797,2,0,103.7,12,NA,205,9,60,NA,NA,NA,NA
"6","J.McKissic",NA,NA,NA,NA,NA,NA,95,0,0,28.8,8,NA,22,27,173,NA,NA,NA,NA
"7","J.Williams",NA,NA,NA,NA,NA,NA,152,0,0,19.2,7,NA,37,7,40,NA,NA,NA,NA
"8","J.Patterson",NA,NA,NA,NA,NA,NA,78,0,0,7.8,1,NA,17,0,0,NA,NA,NA,NA
"9","L.Thomas",NA,NA,NA,NA,NA,NA,NA,0,0,NA,13,NA,0,39,NA,323,1,0,77.3
"10","J.Bates",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,14,NA,108,1,0,30.8
"11","A.Rogers",NA,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,2,5,NA,64,0,26,14
"12","C.Turner",NA,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,0,2,NA,23,0,0,4.3
