"","player_name","recent_team","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","tgt","rec","rec_yd","rec_td","fmb","tp_c","f_ppr","tgt_share","ypc","ypr","cmp_pct","td_rate"
"1","C.McCoy","ARI","QB",4,132,90,780,1,3,14,36,0,0,0,0,0,0,0,32.8,0,2.57142857142857,NA,0.681818181818182,0.00757575757575758
"2","D.Blough","ARI","QB",2,58,38,402,2,2,4,5,0,0,0,0,0,1,0,18.58,0,1.25,NA,0.655172413793103,0.0344827586206897
"3","K.Murray","ARI","QB",11,390,259,2368,14,7,67,418,3,0,0,0,0,2,4,200.52,0,6.23880597014925,NA,0.664102564102564,0.0358974358974359
"4","T.McSorley","ARI","QB",5,83,45,412,0,5,15,61,0,0,0,0,0,2,0,8.58,0,4.06666666666667,NA,0.542168674698795,0
"5","C.Clement","ARI","RB",4,0,0,0,0,0,15,55,1,7,5,54,0,0,0,21.9,0.0126353790613718,3.66666666666667,10.8,NA,NA
"6","D.Williams","ARI","RB",5,0,0,0,0,0,21,102,1,8,4,9,0,0,0,21.1,0.0144404332129964,4.85714285714286,2.25,NA,NA
"7","E.Benjamin","ARI","RB",9,0,0,0,0,0,70,299,2,33,24,184,0,0,1,86.3,0.0595667870036101,4.27142857142857,7.66666666666667,NA,NA
"8","J.Conner","ARI","RB",13,0,0,0,0,0,183,782,7,58,46,300,1,1,0,200.2,0.104693140794224,4.27322404371585,6.52173913043478,NA,NA
"9","K.Ingram","ARI","RB",10,0,0,0,0,0,27,60,1,5,4,21,0,0,0,18.1,0.00902527075812274,2.22222222222222,5.25,NA,NA
"10","T.Williams","ARI","RB",1,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1.5,0.00180505415162455,NA,5,NA,NA
"11","M.Williams","ARI","TE",2,0,0,0,0,0,0,0,0,3,3,18,0,0,0,4.8,0.00541516245487365,NA,6,NA,NA
"12","S.Anderson","ARI","TE",5,0,0,0,0,0,0,0,0,7,3,9,0,0,0,3.9,0.0126353790613718,NA,3,NA,NA
"13","T.McBride","ARI","TE",9,0,0,0,0,0,0,0,0,39,29,265,1,0,0,61.5,0.0703971119133574,NA,9.13793103448276,NA,NA
"14","Z.Ertz","ARI","TE",10,0,0,0,0,0,0,0,0,69,47,406,4,0,0,115.6,0.124548736462094,NA,8.63829787234043,NA,NA
"15","A.Baccellia","ARI","WR",5,0,0,0,0,0,0,0,0,10,7,45,0,0,0,11.5,0.0180505415162455,NA,6.42857142857143,NA,NA
"16","A.Green","ARI","WR",13,0,0,0,0,0,0,0,0,47,24,236,2,0,0,61.6,0.0848375451263538,NA,9.83333333333333,NA,NA
"17","A.Isabella","ARI","WR",2,0,0,0,0,0,0,0,0,5,2,21,0,0,0,4.1,0.00902527075812274,NA,10.5,NA,NA
"18","D.Hopkins","ARI","WR",9,0,0,0,0,0,0,0,0,96,64,717,3,0,0,151.7,0.173285198555957,NA,11.203125,NA,NA
"19","G.Dortch","ARI","WR",11,0,0,0,0,0,7,44,0,64,52,467,2,0,0,115.1,0.115523465703971,6.28571428571429,8.98076923076923,NA,NA
"20","M.Brown","ARI","WR",12,0,0,0,0,0,1,1,0,107,67,709,3,0,0,156,0.193140794223827,1,10.5820895522388,NA,NA
"21","P.Cooper","ARI","WR",2,0,0,0,0,0,4,15,0,2,2,6,0,0,0,4.1,0.0036101083032491,3.75,3,NA,NA
"22","R.Anderson","ARI","WR",7,0,0,0,0,0,0,0,0,17,7,76,0,0,0,14.6,0.0306859205776173,NA,10.8571428571429,NA,NA
"23","R.Moore","ARI","WR",8,0,0,0,0,0,6,-5,0,56,41,414,1,0,0,87.9,0.101083032490975,-0.833333333333333,10.0975609756098,NA,NA
"24","K.Smith","ATL","FB",2,0,0,0,0,0,1,2,0,2,1,8,0,0,0,2,0.00301659125188537,2,8,NA,NA
"25","D.Ridder","ATL","QB",4,115,73,708,2,0,16,64,0,0,0,0,0,2,0,38.72,0,4,NA,0.634782608695652,0.0173913043478261
"26","M.Mariota","ATL","QB",13,300,184,2219,15,9,85,438,4,0,0,0,0,3,2,196.56,0,5.15294117647059,NA,0.613333333333333,0.05
"27","A.Williams","ATL","RB",14,0,0,0,0,0,22,109,1,14,13,61,0,0,0,36,0.0211161387631976,4.95454545454545,4.69230769230769,NA,NA
"28","C.Huntley","ATL","RB",12,0,0,0,0,0,76,366,1,2,2,3,0,0,0,44.9,0.00301659125188537,4.81578947368421,1.5,NA,NA
"29","C.Patterson","ATL","RB",13,0,0,0,0,0,144,695,8,31,21,122,0,1,0,154.7,0.0467571644042232,4.82638888888889,5.80952380952381,NA,NA
"30","D.Williams","ATL","RB",1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2,0,1,NA,NA,NA
"31","T.Allgeier","ATL","RB",16,0,0,0,0,0,210,1035,3,17,16,139,1,0,1,159.4,0.0256410256410256,4.92857142857143,8.6875,NA,NA
"32","A.Firkser","ATL","TE",8,0,0,0,0,0,0,0,0,13,9,100,0,0,0,19,0.0196078431372549,NA,11.1111111111111,NA,NA
"33","F.Franks","ATL","TE",2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.00301659125188537,0,NA,NA,NA
"34","K.Pitts","ATL","TE",10,0,0,0,0,0,0,0,0,59,28,356,2,0,0,75.6,0.0889894419306184,NA,12.7142857142857,NA,NA
"35","M.Pruitt","ATL","TE",10,0,0,0,0,0,0,0,0,21,16,150,4,0,0,55,0.0316742081447964,NA,9.375,NA,NA
"36","P.Hesse","ATL","TE",9,0,0,0,0,0,0,0,0,11,9,89,0,0,0,17.9,0.0165912518853695,NA,9.88888888888889,NA,NA
"37","B.Edwards","ATL","WR",4,0,0,0,0,0,0,0,0,5,3,15,0,0,0,4.5,0.00754147812971342,NA,5,NA,NA
"38","D.Byrd","ATL","WR",12,0,0,0,0,0,0,0,0,23,13,268,2,0,0,51.8,0.0346907993966818,NA,20.6153846153846,NA,NA
