player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
C.Tune,ARI,QB,5,2.0,2.0,8.0,0.0,0.0,7.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.08,0.0,-0.5714285714285714,,1.0,0.0
K.Murray,ARI,QB,17,541.0,372.0,3851.0,21.0,11.0,78.0,572.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,297.24,0.0,7.333333333333333,,0.6876155268022182,0.038817005545286505
D.Dallas,ARI,RB,7,0.0,0.0,0.0,0.0,0.0,9.0,49.0,0.0,3.0,3.0,11.0,1.0,0.0,0.0,21.0,,5.444444444444445,3.6666666666666665,,
E.Demercado,ARI,RB,13,0.0,0.0,0.0,0.0,0.0,24.0,223.0,1.0,20.0,16.0,104.0,0.0,0.0,0.0,54.7,,9.291666666666666,6.5,,
J.Conner,ARI,RB,16,0.0,0.0,0.0,0.0,0.0,236.0,1094.0,8.0,55.0,47.0,414.0,1.0,0.0,2.0,253.8,,4.635593220338983,8.808510638297872,,
M.Carter,ARI,RB,3,0.0,0.0,0.0,0.0,0.0,35.0,131.0,1.0,11.0,11.0,57.0,0.0,0.0,0.0,35.8,,3.742857142857143,5.181818181818182,,
T.Benson,ARI,RB,12,0.0,0.0,0.0,0.0,0.0,63.0,291.0,1.0,6.0,6.0,59.0,0.0,0.0,0.0,47.0,,4.619047619047619,9.833333333333334,,
T.Jones,ARI,RB,1,0.0,0.0,0.0,0.0,0.0,4.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,,13.75,,,
E.Higgins,ARI,TE,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,172.0,2.0,0.0,0.0,49.2,,,8.6,,
T.McBride,ARI,TE,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,147.0,111.0,1146.0,2.0,0.0,0.0,243.8,,2.0,10.324324324324325,,
T.Reiman,ARI,TE,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,37.0,0.0,0.0,0.0,9.7,,,6.166666666666667,,
G.Dortch,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,50.0,37.0,342.0,3.0,0.0,0.0,90.3,,6.2,9.243243243243244,,
M.Harrison,ARI,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,62.0,885.0,8.0,0.0,0.0,196.5,,,14.274193548387096,,
M.Wilson,ARI,WR,16,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,71.0,47.0,548.0,4.0,0.0,0.0,124.5,,7.0,11.659574468085106,,
X.Weaver,ARI,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Z.Jones,ARI,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,84.0,0.0,0.0,0.0,16.4,,,10.5,,
K.Cousins,ATL,QB,14,453.0,303.0,3508.0,18.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,176.32,0.0,0.0,,0.6688741721854304,0.039735099337748346
M.Penix,ATL,QB,5,105.0,61.0,775.0,3.0,3.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,1.5714285714285714,,0.580952380952381,0.02857142857142857
B.Robinson,ATL,RB,17,0.0,0.0,0.0,0.0,0.0,304.0,1456.0,14.0,72.0,61.0,431.0,1.0,0.0,1.0,341.7,,4.7894736842105265,7.065573770491803,,
J.McClellan,ATL,RB,2,0.0,0.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,,2.4615384615384617,,,
T.Allgeier,ATL,RB,17,0.0,0.0,0.0,0.0,0.0,137.0,644.0,3.0,13.0,13.0,88.0,0.0,0.0,1.0,106.2,,4.700729927007299,6.769230769230769,,
C.Woerner,ATL,TE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,46.0,0.0,0.0,0.0,11.6,,,6.571428571428571,,
K.Pitts,ATL,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,47.0,602.0,4.0,0.0,0.0,131.2,,,12.808510638297872,,
R.Dwelley,ATL,TE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.5,,,5.0,,
C.Blair,ATL,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,2.7,,,17.0,,
C.Washington,ATL,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,2.4,,,14.0,,
D.London,ATL,WR,17,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,158.0,100.0,1271.0,9.0,0.0,0.0,280.8,,-3.0,12.71,,
D.Mooney,ATL,WR,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,64.0,992.0,5.0,0.0,0.0,193.2,106.0,,15.5,0.0,0.0
K.Hodge,ATL,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,131.0,1.0,0.0,0.0,32.1,,,18.714285714285715,,
R.McCloud,ATL,WR,17,0.0,0.0,0.0,0.0,0.0,10.0,79.0,0.0,87.0,62.0,686.0,1.0,0.0,0.0,142.5,,7.9,11.064516129032258,,
P.Ricard,BAL,FB,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,22.0,1.0,0.0,0.0,11.2,,,7.333333333333333,,
J.Johnson,BAL,QB,4,3.0,2.0,17.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.25,,0.6666666666666666,0.0
L.Jackson,BAL,QB,17,474.0,316.0,4172.0,41.0,4.0,139.0,915.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,430.38,0.0,6.58273381294964,,0.6666666666666666,0.08649789029535865
D.Henry,BAL,RB,17,0.0,0.0,0.0,0.0,0.0,325.0,1921.0,16.0,22.0,19.0,193.0,2.0,1.0,0.0,336.4,,5.9107692307692306,10.157894736842104,,
J.Hill,BAL,RB,15,0.0,0.0,0.0,0.0,0.0,47.0,228.0,1.0,51.0,42.0,383.0,3.0,0.0,0.0,127.10000000000001,,4.851063829787234,9.119047619047619,,
K.Mitchell,BAL,RB,2,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,6.8,,2.0,28.0,,
R.Ali,BAL,RB,4,0.0,0.0,0.0,0.0,0.0,10.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.1,,3.1,,,
C.Kolar,BAL,TE,7,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,9.0,131.0,1.0,0.0,0.0,28.3,,2.0,14.555555555555555,,
I.Likely,BAL,TE,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,42.0,477.0,6.0,0.0,0.0,123.7,,,11.357142857142858,,
M.Andrews,BAL,TE,17,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,69.0,55.0,673.0,11.0,0.0,0.0,188.8,,1.25,12.236363636363636,,
A.Miller,BAL,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,2.6,,,16.0,,
D.Johnson,BAL,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,1.6,,,6.0,,
D.Walker,BAL,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,21.0,1.0,0.0,0.0,9.1,,,21.0,,
N.Agholor,BAL,WR,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,231.0,2.0,0.0,0.0,49.1,,,16.5,,
R.Bateman,BAL,WR,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,45.0,756.0,9.0,0.0,0.0,174.6,,,16.8,,
T.Wallace,BAL,WR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,193.0,1.0,0.0,0.0,36.3,,,17.545454545454547,,
Z.Flowers,BAL,WR,17,0.0,0.0,0.0,0.0,0.0,9.0,56.0,0.0,116.0,74.0,1059.0,4.0,0.0,0.0,209.5,,6.222222222222222,14.31081081081081,,
R.Gilliam,BUF,FB,2,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,2.3333333333333335,,,
J.Allen,BUF,QB,16,483.0,307.0,3731.0,28.0,6.0,102.0,531.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,372.34000000000003,0.0,5.205882352941177,,0.6356107660455487,0.057971014492753624
M.Trubisky,BUF,QB,8,26.0,19.0,179.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.26,0.0,0.058823529411764705,,0.7307692307692307,0.07692307692307693
M.White,BUF,QB,1,11.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,,,0.2727272727272727,0.0
