"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","K.Murray","QB",11,390,259,2368,14,7,67,418,3,2,4,200.52,0.664102564102564,0.0179487179487179,0.0358974358974359,207.52,0,0,0,0,0
"2","C.McCoy","QB",4,132,90,780,1,3,14,36,0,0,0,32.8,0.681818181818182,0.0227272727272727,0.00757575757575758,35.8,0,0,0,0,0
"3","D.Blough","QB",2,58,38,402,2,2,4,5,0,1,0,18.58,0.655172413793103,0.0344827586206897,0.0344827586206897,20.58,0,0,0,0,0
"4","T.McSorley","QB",5,83,45,412,0,5,15,61,0,2,0,8.58,0.542168674698795,0.0602409638554217,0,13.58,0,0,0,0,0
"5","J.Conner","RB",13,0,0,0,0,0,183,782,7,1,0,200.2,0,0,0,177.2,58,46,300,1,0.0874811463046757
"6","E.Benjamin","RB",9,0,0,0,0,0,70,299,2,0,1,86.3,0,0,0,74.3,33,24,184,0,0.0497737556561086
"7","C.Clement","RB",4,0,0,0,0,0,15,55,1,0,0,21.9,0,0,0,19.4,7,5,54,0,0.0105580693815988
"8","D.Williams","RB",5,0,0,0,0,0,21,102,1,0,0,21.1,0,0,0,19.1,8,4,9,0,0.0120663650075415
"9","K.Ingram","RB",10,0,0,0,0,0,27,60,1,0,0,18.1,0,0,0,16.1,5,4,21,0,0.00754147812971342
"10","T.Williams","RB",1,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1,1,1,5,0,0.00150829562594268
"11","Z.Ertz","TE",10,0,0,0,0,0,0,0,0,0,2,115.6,0,0,0,92.1,69,47,406,4,0.104072398190045
"12","T.McBride","TE",9,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0,47,39,29,265,1,0.0588235294117647
"13","M.Williams","TE",2,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,3.3,3,3,18,0,0.00452488687782805
"14","S.Anderson","TE",5,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,2.4,7,3,9,0,0.0105580693815988
"15","M.Brown","WR",12,0,0,0,0,0,1,1,0,0,0,156,0,0,0,122.5,107,67,709,3,0.161387631975867
"16","D.Hopkins","WR",9,0,0,0,0,0,0,0,0,1,0,151.7,0,0,0,119.7,96,64,717,3,0.144796380090498
"17","G.Dortch","WR",11,0,0,0,0,0,7,44,0,0,0,115.1,0,0,0,89.1,64,52,467,2,0.0965309200603318
"18","R.Moore","WR",8,0,0,0,0,0,6,-5,0,0,0,87.9,0,0,0,67.4,56,41,414,1,0.0844645550527904
"19","A.Green","WR",13,0,0,0,0,0,0,0,0,0,1,61.6,0,0,0,49.6,47,24,236,2,0.0708898944193062
"20","R.Anderson","WR",7,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,11.1,17,7,76,0,0.0256410256410256
"21","A.Baccellia","WR",5,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,8,10,7,45,0,0.0150829562594268
"22","A.Isabella","WR",2,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,3.1,5,2,21,0,0.00754147812971342
"23","P.Cooper","WR",2,0,0,0,0,0,4,15,0,0,0,4.1,0,0,0,3.1,2,2,6,0,0.00301659125188537
