"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","M.Mariota","QB",13,300,184,2219,15,9,85,438,4,3,2,196.56,0.613333333333333,0.03,0.05,205.56,0,0,0,0,0
"2","D.Ridder","QB",4,115,73,708,2,0,16,64,0,2,0,38.72,0.634782608695652,0,0.0173913043478261,38.72,0,0,0,0,0
"3","T.Allgeier","RB",16,0,0,0,0,0,210,1035,3,0,1,159.4,0,0,0,151.4,17,16,139,1,0.0409638554216867
"4","C.Patterson","RB",13,0,0,0,0,0,144,695,8,1,0,154.7,0,0,0,138.2,31,21,122,0,0.0746987951807229
"5","C.Huntley","RB",12,0,0,0,0,0,76,366,1,0,0,44.9,0,0,0,43.9,2,2,3,0,0.00481927710843374
"6","A.Williams","RB",14,0,0,0,0,0,22,109,1,0,0,36,0,0,0,29.5,14,13,61,0,0.0337349397590361
"7","D.Williams","RB",1,0,0,0,0,0,2,2,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0
"8","K.Pitts","TE",10,0,0,0,0,0,0,0,0,0,0,75.6,0,0,0,61.6,59,28,356,2,0.142168674698795
"9","M.Pruitt","TE",10,0,0,0,0,0,0,0,0,0,0,55,0,0,0,47,21,16,150,4,0.0506024096385542
"10","A.Firkser","TE",8,0,0,0,0,0,0,0,0,0,0,19,0,0,0,14.5,13,9,100,0,0.0313253012048193
"11","P.Hesse","TE",9,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,13.4,11,9,89,0,0.0265060240963855
"12","F.Franks","TE",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.00481927710843374
"13","D.London","WR",17,0,0,0,0,0,0,0,0,3,1,178.6,0,0,0,142.6,117,72,866,4,0.281927710843373
"14","O.Zaccheaus","WR",16,0,0,0,0,0,2,7,0,1,0,110,0,0,0,90,61,40,533,3,0.146987951807229
"15","D.Byrd","WR",12,0,0,0,0,0,0,0,0,0,0,51.8,0,0,0,45.3,23,13,268,2,0.0554216867469879
"16","K.Hodge","WR",9,0,0,0,0,0,0,0,0,0,1,41.2,0,0,0,34.7,20,13,202,1,0.0481927710843374
"17","B.Edwards","WR",4,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,3,5,3,15,0,0.0120481927710843
"18","F.Darby","WR",1,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2,1,1,15,0,0.00240963855421687
"19","J.Ali","WR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00240963855421687
