"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","L.Jackson","QB",12,326,203,2242,17,7,112,764,3,2,1,236.08,0.622699386503067,0.0214723926380368,0.0521472392638037,243.08,0,0,0,0,0
"2","T.Huntley","QB",5,112,75,658,2,3,43,137,1,0,1,50.02,0.669642857142857,0.0267857142857143,0.0178571428571429,53.02,0,0,0,0,0
"3","A.Brown","QB",2,49,22,302,0,2,3,-5,0,1,0,5.58,0.448979591836735,0.0408163265306122,0,7.58,0,0,0,0,0
"4","K.Drake","RB",12,0,0,0,0,0,109,482,4,0,0,104.1,0,0,0,95.6,26,17,89,1,0.053388090349076
"5","J.Dobbins","RB",8,0,0,0,0,0,92,520,2,0,0,81.2,0,0,0,77.7,8,7,42,1,0.0164271047227926
"6","G.Edwards","RB",9,0,0,0,0,0,87,433,3,1,0,59.3,0,0,0,59.3,2,0,0,0,0.00410677618069815
"7","J.Hill","RB",13,0,0,0,0,0,49,262,0,1,0,42,0,0,0,36,12,12,58,0,0.0246406570841889
"8","M.Davis","RB",5,0,0,0,0,0,8,18,0,0,0,4.2,0,0,0,3.2,2,2,4,0,0.00410677618069815
"9","M.Andrews","TE",15,0,0,0,0,0,3,8,0,0,1,190.5,0,0,0,154,113,73,847,5,0.232032854209446
"10","I.Likely","TE",14,0,0,0,0,0,0,0,0,0,0,91.3,0,0,0,73.3,60,36,373,3,0.123203285420945
"11","J.Oliver","TE",12,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,33.9,25,14,149,2,0.0513347022587269
"12","C.Kolar","TE",1,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,6.9,6,4,49,0,0.0123203285420945
"13","D.Duvernay","WR",14,0,0,0,0,0,12,84,1,0,0,116.1,0,0,0,91.6,49,37,407,3,0.100616016427105
"14","D.Robinson","WR",16,0,0,0,0,0,0,0,0,1,0,103.8,0,0,0,79.8,75,48,458,2,0.154004106776181
"15","R.Bateman","WR",6,0,0,0,0,0,0,0,0,1,0,53.5,0,0,0,46,28,15,285,2,0.0574948665297741
"16","D.Jackson","WR",7,0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,19.8,17,9,153,0,0.0349075975359343
"17","S.Watkins","WR",2,0,0,0,0,0,0,0,0,1,0,12.9,0,0,0,11.4,5,3,119,0,0.0102669404517454
"18","J.Proche","WR",7,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,10.2,17,8,62,0,0.0349075975359343
"19","T.Wallace","WR",5,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,5.3,7,4,33,0,0.0143737166324435
"20","A.Isabella","WR",1,0,0,0,0,0,1,1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0
