"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Allen","QB",16,567,359,4283,35,14,124,762,7,5,2,395.52,0.6331569664903,0.0246913580246914,0.0617283950617284,409.52,0,0,0,0,0
"2","C.Keenum","QB",2,7,2,8,0,0,5,0,0,0,0,0.32,0.285714285714286,0,0,0.32,0,0,0,0,0
"3","D.Singletary","RB",16,0,0,0,0,0,177,819,5,3,0,177.9,0,0,0,158.9,52,38,280,1,0.0905923344947735
"4","J.Cook","RB",16,0,0,0,0,0,89,507,2,1,0,105.7,0,0,0,95.2,32,21,180,1,0.0557491289198606
"5","N.Hines","RB",9,0,0,0,0,0,6,-3,0,0,0,28,0,0,0,13.5,9,5,53,1,0.0156794425087108
"6","Z.Moss","RB",5,0,0,0,0,0,17,91,0,1,0,16.8,0,0,0,13.3,8,7,27,0,0.0139372822299652
"7","D.Johnson","RB",1,0,0,0,0,0,2,4,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0
"8","D.Knox","TE",15,0,0,0,0,0,0,0,0,0,0,135.7,0,0,0,111.7,65,48,517,6,0.113240418118467
"9","Q.Morris","TE",6,0,0,0,0,0,0,0,0,1,0,20.4,0,0,0,16.4,11,8,84,1,0.0191637630662021
"10","T.Sweeney","TE",1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.2,1,1,7,0,0.00174216027874564
"11","S.Diggs","WR",16,0,0,0,0,0,1,-3,0,0,0,316.6,0,0,0,262.6,154,108,1429,11,0.268292682926829
"12","G.Davis","WR",15,0,0,0,0,0,0,0,0,1,0,171.6,0,0,0,147.6,93,48,836,7,0.162020905923345
"13","I.McKenzie","WR",15,0,0,0,0,0,9,55,1,0,0,119.8,0,0,0,98.8,65,42,423,4,0.113240418118467
"14","K.Shakir","WR",10,0,0,0,0,0,0,0,0,0,1,34.1,0,0,0,29.1,20,10,161,1,0.0348432055749129
"15","J.Crowder","WR",4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,9,13,6,60,0,0.0226480836236934
"16","J.Brown","WR",2,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,10.7,2,1,42,1,0.00348432055749129
"17","J.Kumerow","WR",4,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,8.4,7,4,64,0,0.0121951219512195
"18","I.Hodgins","WR",1,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,6.1,6,4,41,0,0.0104529616724739
"19","C.Beasley","WR",2,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,2.8,2,2,18,0,0.00348432055749129
"20","T.Gentry","WR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00174216027874564
