"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","S.Darnold","QB",6,140,82,1143,7,3,26,106,2,2,0,86.32,0.585714285714286,0.0214285714285714,0.05,89.32,0,0,0,0,0
"2","B.Mayfield","QB",7,206,119,1313,6,6,16,52,1,1,0,73.72,0.577669902912621,0.029126213592233,0.029126213592233,79.72,0,0,0,0,0
"3","P.Walker","QB",6,106,63,731,3,3,6,39,0,0,0,39.14,0.594339622641509,0.0283018867924528,0.0283018867924528,42.14,0,0,0,0,0
"4","J.Eason","QB",1,5,3,59,0,1,0,0,0,0,0,0.36,0.6,0.2,0,1.36,0,0,0,0,0
"5","D.Foreman","RB",16,0,0,0,0,0,203,914,5,0,1,131,0,0,0,128.5,9,5,26,0,0.0196936542669584
"6","C.McCaffrey","RB",6,0,0,0,0,0,85,393,2,0,0,118,0,0,0,101.5,43,33,277,1,0.0940919037199125
"7","C.Hubbard","RB",12,0,0,0,0,0,95,466,2,0,0,89.7,0,0,0,82.7,17,14,171,0,0.037199124726477
"8","R.Blackshear","RB",10,0,0,0,0,0,23,77,3,0,0,45,0,0,0,40,12,10,93,0,0.0262582056892779
"9","S.Brown","RB",2,0,0,0,0,0,9,43,0,0,0,7.3,0,0,0,6.3,4,2,10,0,0.0087527352297593
"10","T.Tremble","TE",14,0,0,0,0,0,0,0,0,0,0,54.4,0,0,0,44.9,32,19,174,3,0.0700218818380744
"11","I.Thomas","TE",13,0,0,0,0,0,0,0,0,0,0,40.7,0,0,0,30.2,30,21,197,0,0.0656455142231947
"12","G.Ricci","TE",6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,14,9,8,100,0,0.0196936542669584
"13","S.Sullivan","TE",4,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,5.6,6,2,46,0,0.0131291028446389
"14","D.Moore","WR",17,0,0,0,0,0,10,53,0,0,0,199.1,0,0,0,167.6,118,63,888,7,0.258205689277899
"15","T.Marshall","WR",13,0,0,0,0,0,0,0,0,0,0,83,0,0,0,69,47,28,490,1,0.102844638949672
"16","L.Shenault","WR",13,0,0,0,0,0,9,65,1,0,0,72.7,0,0,0,59.2,32,27,272,1,0.0700218818380744
"17","S.Smith","WR",15,0,0,0,0,0,0,0,0,1,0,61.6,0,0,0,50.6,41,22,296,2,0.0897155361050328
"18","R.Anderson","WR",5,0,0,0,0,0,0,0,0,1,0,37.6,0,0,0,31.1,27,13,206,1,0.0590809628008753
