"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Fields","QB",15,318,192,2242,17,11,160,1143,8,2,1,295.98,0.60377358490566,0.0345911949685535,0.0534591194968553,306.98,0,0,0,0,0
"2","T.Siemian","QB",2,26,15,184,1,1,4,8,0,0,0,10.16,0.576923076923077,0.0384615384615385,0.0384615384615385,11.16,0,0,0,0,0
"3","N.Peterman","QB",3,25,14,139,1,1,2,7,0,0,0,8.26,0.56,0.04,0.04,9.26,0,0,0,0,0
"4","T.Boyle","QB",1,8,2,33,0,2,2,-2,0,0,0,-2.88,0.25,0.25,0,-0.88,0,0,0,0,0
"5","D.Montgomery","RB",16,0,0,0,0,0,201,801,5,2,0,177.7,0,0,0,160.7,40,34,316,1,0.106100795755968
"6","K.Herbert","RB",13,0,0,0,0,0,129,731,4,0,0,117.8,0,0,0,113.3,12,9,57,1,0.0318302387267905
"7","D.Evans","RB",3,0,0,0,0,0,14,64,0,0,0,10.7,0,0,0,10.2,1,1,33,0,0.0026525198938992
"8","T.Ebner","RB",7,0,0,0,0,0,24,54,0,0,0,7,0,0,0,6.5,7,1,6,0,0.0185676392572944
"9","C.Kmet","TE",17,0,0,0,0,0,2,9,0,0,0,147.3,0,0,0,122.3,69,50,544,7,0.183023872679045
"10","R.Griffin","TE",7,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,4.6,8,4,26,0,0.0212201591511936
"11","T.Wesco","TE",4,0,0,0,0,0,0,0,0,0,1,6.6,0,0,0,5.6,4,2,26,0,0.0106100795755968
"12","J.Tonges","TE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0026525198938992
"13","D.Mooney","WR",11,0,0,0,0,0,1,2,0,0,0,101.5,0,0,0,81.5,61,40,493,2,0.161803713527851
"14","D.Pettis","WR",14,0,0,0,0,0,2,37,0,0,0,65.2,0,0,0,55.7,41,19,245,3,0.108753315649867
"15","E.St. Brown","WR",16,0,0,0,0,0,6,54,0,1,0,63.9,0,0,0,52.9,39,22,325,1,0.103448275862069
"16","V.Jones","WR",9,0,0,0,0,0,9,103,1,1,0,38,0,0,0,34.5,14,7,107,1,0.0371352785145889
"17","B.Pringle","WR",8,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,30.5,16,10,135,2,0.0424403183023873
"18","C.Claypool","WR",7,0,0,0,0,0,1,4,0,1,0,26.4,0,0,0,19.4,29,14,140,0,0.0769230769230769
"19","N.Harry","WR",6,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,21.1,9,7,116,1,0.0238726790450928
"20","N.Webster","WR",1,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,2.4,3,2,14,0,0.00795755968169761
"21","I.Smith-Marsette","WR",3,0,0,0,0,0,1,-1,0,1,0,0.4,0,0,0,-0.1,4,1,15,0,0.0106100795755968
