"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Burrow","QB",16,606,414,4475,35,12,75,257,5,3,3,350.7,0.683168316831683,0.0198019801980198,0.0577557755775578,362.7,0,0,0,0,0
"2","B.Allen","QB",1,3,3,22,0,0,3,-1,0,0,0,0.78,1,0,0,0.78,0,0,0,0,0
"3","J.Mixon","RB",14,0,0,0,0,0,210,814,7,0,0,239.5,0,0,0,209.5,75,60,441,2,0.123152709359606
"4","S.Perine","RB",16,0,0,0,0,0,95,394,2,0,0,142.1,0,0,0,123.1,51,38,287,4,0.083743842364532
"5","C.Evans","RB",4,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,11.3,4,3,38,1,0.00656814449917898
"6","T.Williams","RB",4,0,0,0,0,0,6,30,0,0,0,8,0,0,0,7,3,2,30,0,0.00492610837438424
"7","H.Hurst","TE",13,0,0,0,0,0,0,0,0,0,0,105.4,0,0,0,79.4,68,52,414,2,0.111658456486043
"8","M.Wilcox","TE",9,0,0,0,0,0,0,0,0,0,0,36.9,0,0,0,28.4,18,17,139,1,0.0295566502463054
"9","D.Asiasi","TE",3,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,1.5,4,2,5,0,0.00656814449917898
"10","D.Sample","TE",2,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0.8,2,2,-2,0,0.00328407224958949
"11","J.Chase","WR",12,0,0,0,0,0,5,8,0,2,0,242.4,0,0,0,198.9,134,87,1046,9,0.220032840722496
"12","T.Higgins","WR",14,0,0,0,0,0,0,0,0,0,1,220.9,0,0,0,183.9,109,74,1029,7,0.178981937602627
"13","T.Boyd","WR",16,0,0,0,0,0,0,0,0,0,1,167.12,0,0,0,137.2,82,58,762,5,0.134646962233169
"14","T.Irwin","WR",9,0,0,0,0,0,1,11,0,0,0,63.2,0,0,0,55.7,23,15,231,4,0.0377668308702791
"15","T.Taylor","WR",6,0,0,0,0,0,4,15,0,0,0,13.7,0,0,0,10.7,10,6,62,0,0.0164203612479475
"16","M.Thomas","WR",4,0,0,0,0,0,0,0,0,0,1,7.8,0,0,0,6.8,10,2,38,0,0.0164203612479475
"17","S.Morgan","WR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00164203612479475
