"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Brissett","QB",14,369,236,2608,12,6,49,243,2,4,0,168.62,0.639566395663957,0.016260162601626,0.032520325203252,174.62,0,0,0,0,0
"2","D.Watson","QB",6,170,99,1102,7,5,36,175,1,0,0,85.58,0.582352941176471,0.0294117647058824,0.0411764705882353,90.58,0,0,0,0,0
"3","N.Chubb","RB",17,0,0,0,0,0,302,1525,12,1,1,281.4,0,0,0,267.9,37,27,239,1,0.0686456400742115
"4","K.Hunt","RB",17,0,0,0,0,0,123,468,3,0,0,126.8,0,0,0,109.3,44,35,210,1,0.0816326530612245
"5","D.Johnson","RB",3,0,0,0,0,0,4,17,0,0,0,5.4,0,0,0,3.9,3,3,7,0,0.00556586270871985
"6","D.Felton","RB",4,0,0,0,0,0,1,-4,0,0,0,2.4,0,0,0,1.4,4,2,8,0,0.00742115027829314
"7","J.Ford","RB",2,0,0,0,0,0,8,12,0,0,0,1.2,0,0,0,1.2,0,0,0,0,0
"8","D.Njoku","TE",14,0,0,0,0,0,2,-8,0,1,0,142,0,0,0,113,80,58,628,4,0.148423005565863
"9","H.Bryant","TE",14,0,0,0,0,0,1,8,0,0,0,61.7,0,0,0,46.2,42,31,239,1,0.0779220779220779
"10","P.Brown","TE",4,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,7,10,5,45,0,0.0185528756957328
"11","M.Forristall","TE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00185528756957328
"12","A.Cooper","WR",17,0,0,0,0,0,0,0,0,0,0,246,0,0,0,209,132,78,1160,9,0.244897959183673
"13","D.Peoples-Jones","WR",17,0,0,0,0,0,1,2,0,1,0,167.1,0,0,0,130.6,96,61,839,3,0.178107606679035
"14","D.Bell","WR",14,0,0,0,0,0,0,0,0,0,0,45.4,0,0,0,33.4,35,24,214,0,0.0649350649350649
"15","A.Schwartz","WR",6,0,0,0,0,0,4,57,1,1,0,18.8,0,0,0,16.8,10,4,51,0,0.0185528756957328
"16","M.Woods","WR",6,0,0,0,0,0,1,-5,0,0,0,9,0,0,0,6.5,10,5,45,0,0.0185528756957328
"17","D.Baldwin","WR",1,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,3.5,2,2,25,0,0.00371057513914657
