"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","D.Prescott","QB",12,394,261,2860,23,15,45,182,1,1,0,198.6,0.66243654822335,0.0380710659898477,0.0583756345177665,213.6,0,0,0,0,0
"2","C.Rush","QB",8,162,94,1051,5,3,9,6,0,0,0,56.64,0.580246913580247,0.0185185185185185,0.0308641975308642,59.64,0,0,0,0,0
"3","T.Pollard","RB",16,0,0,0,0,0,193,1007,9,0,0,248.8,0,0,0,229.3,55,39,371,3,0.0989208633093525
"4","E.Elliott","RB",15,0,0,0,0,0,231,876,12,0,0,185.8,0,0,0,177.3,23,17,92,0,0.0413669064748201
"5","M.Davis","RB",6,0,0,0,0,0,38,161,1,0,0,34.4,0,0,0,31.4,7,6,63,0,0.012589928057554
"6","D.Schultz","TE",15,0,0,0,0,0,0,0,0,1,0,142.7,0,0,0,114.2,89,57,577,5,0.160071942446043
"7","J.Ferguson","TE",11,0,0,0,0,0,0,0,0,0,0,48.4,0,0,0,38.9,22,19,174,2,0.039568345323741
"8","P.Hendershot","TE",9,0,0,0,0,0,1,2,1,0,0,39.5,0,0,0,34,16,11,103,2,0.0287769784172662
"9","S.McKeon","TE",2,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,2.1,3,2,11,0,0.00539568345323741
"10","C.Lamb","WR",17,0,0,0,0,0,10,47,0,0,0,301.6,0,0,0,248.1,156,107,1359,9,0.280575539568345
"11","N.Brown","WR",15,0,0,0,0,0,0,0,0,1,0,114.5,0,0,0,93,74,43,555,3,0.133093525179856
"12","M.Gallup","WR",14,0,0,0,0,0,0,0,0,0,0,105.4,0,0,0,85.9,74,39,424,4,0.133093525179856
"13","T.Hilton","WR",3,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,15.6,10,7,121,0,0.0179856115107914
"14","S.Fehoko","WR",2,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,3.9,4,3,24,0,0.00719424460431655
"15","D.Houston","WR",2,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,2.6,6,2,16,0,0.0107913669064748
"16","K.Turpin","WR",5,0,0,0,0,0,3,17,0,0,0,3.6,0,0,0,3.1,2,1,9,0,0.00359712230215827
"17","J.Tolbert","WR",2,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,2.2,3,2,12,0,0.00539568345323741
"18","J.Washington","WR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00179856115107914
