"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","R.Wilson","QB",15,483,292,3524,16,11,55,277,3,2,0,225.76,0.604554865424431,0.0227743271221532,0.0331262939958592,235.66,0,0,0,0,0
"2","B.Rypien","QB",4,88,53,483,2,4,6,7,0,1,0,18.02,0.602272727272727,0.0454545454545455,0.0227272727272727,22.02,0,0,0,0,0
"3","L.Murray","RB",12,0,0,0,0,0,160,703,5,0,1,140.7,0,0,0,127.7,34,26,124,0,0.0595446584938704
"4","M.Gordon","RB",10,0,0,0,0,0,90,318,2,2,0,87.1,0,0,0,74.6,32,25,223,0,0.0560420315236427
"5","J.Williams","RB",4,0,0,0,0,0,47,204,0,1,0,42,0,0,0,34,22,16,76,0,0.0385288966725044
"6","M.Mack","RB",5,0,0,0,0,0,16,84,1,0,0,38.3,0,0,0,34.3,10,8,99,1,0.0175131348511384
"7","M.Boone","RB",8,0,0,0,0,0,24,102,0,0,0,28.8,0,0,0,24.3,15,9,96,0,0.0262697022767075
"8","C.Edmonds","RB",5,0,0,0,0,0,26,125,0,0,0,24.6,0,0,0,21.6,7,6,61,0,0.0122591943957968
"9","T.Badie","RB",1,0,0,0,0,0,1,0,0,0,0,9.4,0,0,0,8.9,1,1,24,1,0.00175131348511384
"10","D.Ozigbo","RB",3,0,0,0,0,0,3,4,0,0,0,1.7,0,0,0,1.2,1,1,3,0,0.00175131348511384
"11","G.Dulcich","TE",10,0,0,0,0,0,0,0,0,0,0,86.1,0,0,0,69.6,55,33,411,2,0.0963222416812609
"12","E.Saubert","TE",11,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,28.3,24,15,148,1,0.042031523642732
"13","E.Tomlinson","TE",8,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,24.4,13,9,79,2,0.0227670753064799
"14","A.Okwuegbunam","TE",6,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,20.5,18,10,95,1,0.031523642732049
"15","A.Beck","TE",8,0,0,0,0,0,2,0,0,0,0,11.9,0,0,0,9.4,11,5,69,0,0.0192644483362522
"16","J.Jeudy","WR",15,0,0,0,0,0,4,40,0,0,0,204.2,0,0,0,170.7,100,67,972,6,0.175131348511384
"17","C.Sutton","WR",15,0,0,0,0,0,1,5,0,0,0,159.4,0,0,0,127.4,109,64,829,2,0.190893169877408
"18","K.Hinton","WR",11,0,0,0,0,0,2,13,0,0,0,56.4,0,0,0,44.4,33,24,311,0,0.0577933450087566
"19","K.Hamler","WR",6,0,0,0,0,0,2,23,0,0,0,25.8,0,0,0,22.3,14,7,165,0,0.0245183887915937
"20","B.Johnson","WR",4,0,0,0,0,0,0,0,0,0,0,16.2,0,0,0,13.2,14,6,42,1,0.0245183887915937
"21","J.Virgil","WR",4,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,14.5,5,2,75,1,0.00875656742556918
"22","F.Swain","WR",3,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,9.4,6,4,74,0,0.010507880910683
"23","M.Washington","WR",9,0,0,0,0,0,5,30,0,0,0,7.2,0,0,0,5.2,9,4,2,0,0.0157618213660245
"24","T.Cleveland","WR",3,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,3.8,7,2,28,0,0.0122591943957968
