"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Goff","QB",17,587,382,4438,29,7,29,73,0,4,2,284.32,0.65076660988075,0.0119250425894378,0.0494037478705281,289.82,0,0,0,0,0
"2","N.Sudfeld","QB",2,0,0,0,0,0,5,-4,0,0,0,-0.4,0,0,0,-0.4,0,0,0,0,0
"3","J.Williams","RB",17,0,0,0,0,0,262,1066,17,2,1,225.9,0,0,0,219.9,16,12,73,0,0.0272572402044293
"4","D.Swift","RB",14,0,0,0,0,0,99,542,5,0,1,191.1,0,0,0,167.1,70,48,389,3,0.119250425894378
"5","J.Jackson","RB",12,0,0,0,0,0,42,170,1,0,0,51.1,0,0,0,45.1,19,12,101,1,0.0323679727427598
"6","C.Reynolds","RB",6,0,0,0,0,0,23,102,0,0,0,30.8,0,0,0,26.3,10,9,116,0,0.0170357751277683
"7","T.Hockenson","TE",7,0,0,0,0,0,0,0,0,0,1,85.5,0,0,0,72.5,43,26,395,3,0.0732538330494037
"8","B.Wright","TE",13,0,0,0,0,0,0,0,0,0,0,63.6,0,0,0,54.6,24,18,216,4,0.0408858603066439
"9","S.Zylstra","TE",8,0,0,0,0,0,0,0,0,0,0,41,0,0,0,35.5,15,11,60,4,0.0255536626916525
"10","J.Mitchell","TE",8,0,0,0,0,0,0,0,0,0,0,28.3,0,0,0,22.8,11,11,113,1,0.0187393526405451
"11","A.St. Brown","WR",16,0,0,0,0,0,9,95,0,0,0,267.6,0,0,0,214.6,146,106,1161,6,0.248722316865417
"12","K.Raymond","WR",16,0,0,0,0,0,7,36,0,1,0,116.2,0,0,0,86.7,64,47,616,0,0.109028960817717
"13","J.Reynolds","WR",12,0,0,0,0,0,0,0,0,0,0,103.9,0,0,0,84.9,59,38,479,3,0.100511073253833
"14","D.Chark","WR",11,0,0,0,0,0,0,0,0,0,0,98.2,0,0,0,83.2,52,30,502,3,0.0885860306643952
"15","T.Kennedy","WR",5,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,18.1,15,8,141,0,0.0255536626916525
"16","J.Williams","WR",6,0,0,0,0,0,1,40,0,0,0,15.1,0,0,0,14.6,9,1,41,1,0.0153321976149915
"17","Q.Cephus","WR",1,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,2.5,3,2,15,0,0.00511073253833049
"18","M.Alexander","WR",1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.2,1,1,7,0,0.00170357751277683
