"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","A.Rodgers","QB",17,542,350,3695,26,12,34,94,1,4,2,239.2,0.645756457564576,0.022140221402214,0.0479704797047971,251.2,0,0,0,0,0
"2","J.Love","QB",4,21,14,195,1,0,1,-1,0,0,0,11.7,0.666666666666667,0,0.0476190476190476,11.7,0,0,0,0,0
"3","A.Jones","RB",17,0,0,0,0,0,213,1121,2,3,1,248.6,0,0,0,219.1,72,59,395,5,0.127886323268206
"4","A.Dillon","RB",17,0,0,0,0,0,186,770,7,0,0,167.6,0,0,0,153.6,43,28,206,0,0.0763765541740675
"5","P.Taylor","RB",4,0,0,0,0,0,10,31,0,0,0,5.8,0,0,0,5.3,1,1,17,0,0.00177619893428064
"6","K.Hill","RB",1,0,0,0,0,0,1,7,0,0,0,0.7,0,0,0,0.7,0,0,0,0,0
"7","R.Tonyan","TE",17,0,0,0,0,0,0,0,0,0,0,112,0,0,0,85.5,67,53,470,2,0.119005328596803
"8","M.Lewis","TE",6,0,0,0,0,0,0,0,0,0,1,26.6,0,0,0,23.6,7,6,66,2,0.0124333925399645
"9","J.Deguara","TE",9,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,17.9,15,13,114,0,0.0266429840142096
"10","T.Davis","TE",5,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,4.6,7,4,26,0,0.0124333925399645
"11","A.Lazard","WR",15,0,0,0,0,0,2,0,0,0,0,174.8,0,0,0,144.8,100,60,788,6,0.177619893428064
"12","C.Watson","WR",14,0,0,0,0,0,7,80,2,0,0,164.1,0,0,0,143.6,66,41,611,7,0.117229129662522
"13","R.Doubs","WR",13,0,0,0,0,0,1,11,0,1,0,101.6,0,0,0,80.6,67,42,425,3,0.119005328596803
"14","R.Cobb","WR",13,0,0,0,0,0,0,0,0,0,0,81.7,0,0,0,64.7,50,34,417,1,0.088809946714032
"15","S.Watkins","WR",7,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0,27.1,22,13,206,0,0.0390763765541741
"16","S.Toure","WR",4,0,0,0,0,0,0,0,0,0,0,19.2,0,0,0,16.7,10,5,82,1,0.0177619893428064
"17","A.Rodgers","WR",4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,8,4,50,0,0.0142095914742451
"18","J.Winfree","WR",3,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,2.2,4,1,17,0,0.00710479573712256
