"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","D.Mills","QB",15,479,292,3118,17,15,32,108,2,3,1,181.52,0.609603340292276,0.0313152400835073,0.0354906054279749,196.52,0,0,0,0,0
"2","J.Driskel","QB",7,20,14,108,1,0,20,75,0,0,0,17.22,0.7,0,0.05,15.82,0,0,0,0,0
"3","K.Allen","QB",2,78,46,416,2,4,6,13,0,1,0,15.94,0.58974358974359,0.0512820512820513,0.0256410256410256,19.94,0,0,0,0,0
"4","D.Pierce","RB",13,0,0,0,0,0,220,939,4,2,0,166.4,0,0,0,151.4,39,30,165,1,0.0675909878682842
"5","R.Burkhead","RB",15,0,0,0,0,0,26,80,0,0,0,71.4,0,0,0,52.9,51,37,204,1,0.0883882149046794
"6","D.Ogunbowale","RB",11,0,0,0,0,0,42,123,1,0,0,48.7,0,0,0,38.7,26,20,104,0,0.0450606585788562
"7","R.Freeman","RB",4,0,0,0,0,0,41,117,0,1,0,19,0,0,0,16,8,6,33,0,0.0138648180242634
"8","E.Benjamin","RB",1,0,0,0,0,0,3,1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0
"9","J.Akins","TE",15,0,0,0,0,0,0,0,0,1,1,116.5,0,0,0,98,54,37,495,5,0.0935875216637782
"10","O.Howard","TE",11,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,31.5,23,10,145,2,0.0398613518197574
"11","T.Quitoriano","TE",7,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,26.8,14,7,113,2,0.024263431542461
"12","B.Jordan","TE",9,0,0,0,0,0,0,0,0,0,0,26.8,0,0,0,19.8,28,14,128,0,0.048526863084922
"13","P.Brown","TE",3,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,10.7,10,7,72,0,0.0173310225303293
"14","M.Schreck","TE",2,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,1.6,2,2,6,0,0.00346620450606586
"15","B.Cooks","WR",13,0,0,0,0,0,2,7,0,0,0,145.6,0,0,0,117.1,93,57,699,3,0.161178509532062
"16","C.Moore","WR",15,0,0,0,0,0,3,3,0,0,0,115.1,0,0,0,91.1,74,48,548,2,0.128249566724437
"17","N.Collins","WR",10,0,0,0,0,0,0,0,0,0,0,97.1,0,0,0,78.6,66,37,481,2,0.114384748700173
"18","P.Dorsett","WR",14,0,0,0,0,0,0,0,0,0,0,51.7,0,0,0,41.7,40,20,257,1,0.0693240901213172
"19","A.Rodgers","WR",5,0,0,0,0,0,2,7,0,0,0,34.1,0,0,0,28.1,17,12,154,1,0.0294627383015598
"20","T.Johnson","WR",1,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,1.3,1,1,8,0,0.00173310225303293
"21","J.Camp","WR",1,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.2,1,1,7,0,0.00173310225303293
"22","C.Conley","WR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.00346620450606586
