"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","M.Ryan","QB",12,461,309,3057,14,13,27,70,1,5,0,155.28,0.670281995661605,0.0281995661605206,0.0303687635574837,168.28,0,0,0,0,0
"2","S.Ehlinger","QB",4,101,64,573,3,3,17,87,0,1,0,35.62,0.633663366336634,0.0297029702970297,0.0297029702970297,38.62,0,0,0,0,0
"3","N.Foles","QB",2,42,25,224,0,4,2,8,0,0,0,1.76,0.595238095238095,0.0952380952380952,0,5.76,0,0,0,0,0
"4","J.Taylor","RB",11,0,0,0,0,0,192,861,4,3,0,146.4,0,0,0,132.4,40,28,143,0,0.0662251655629139
"5","D.Jackson","RB",12,0,0,0,0,0,68,236,1,1,0,84.5,0,0,0,69.5,34,30,209,1,0.0562913907284768
"6","N.Hines","RB",7,0,0,0,0,0,18,36,1,0,0,53.4,0,0,0,40.9,28,25,188,0,0.0463576158940397
"7","Z.Moss","RB",8,0,0,0,0,0,76,365,1,0,0,47.7,0,0,0,45.7,5,4,12,0,0.00827814569536424
"8","P.Lindsay","RB",3,0,0,0,0,0,15,49,0,0,1,14.8,0,0,0,11.8,8,6,19,0,0.0132450331125828
"9","J.Wilkins","RB",4,0,0,0,0,0,13,58,0,0,0,14.7,0,0,0,11.7,8,6,29,0,0.0132450331125828
"10","J.Woods","TE",12,0,0,0,0,0,0,0,0,0,0,74.2,0,0,0,61.7,40,25,312,3,0.0662251655629139
"11","K.Granson","TE",13,0,0,0,0,0,1,0,0,0,0,61.2,0,0,0,45.7,40,31,302,0,0.0662251655629139
"12","M.Alie-Cox","TE",14,0,0,0,0,0,0,0,0,1,0,53.9,0,0,0,44.4,28,19,189,3,0.0463576158940397
"13","M.Pittman","WR",16,0,0,0,0,0,3,30,0,1,0,216.5,0,0,0,167,141,99,925,4,0.233443708609272
"14","P.Campbell","WR",17,0,0,0,0,0,5,58,0,0,0,149.1,0,0,0,117.6,91,63,623,3,0.150662251655629
"15","A.Pierce","WR",16,0,0,0,0,0,0,0,0,0,0,112.3,0,0,0,91.8,78,41,593,2,0.129139072847682
"16","A.Dulin","WR",7,0,0,0,0,0,2,8,0,0,0,42.5,0,0,0,35,22,15,207,1,0.0364238410596026
"17","M.Strachan","WR",5,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,7.4,9,3,59,0,0.0149006622516556
"18","D.Patmon","WR",1,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,3.4,6,2,24,0,0.00993377483443709
"19","K.Coutee","WR",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,1,1,20,0,0.00165562913907285
