"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","T.Lawrence","QB",17,584,387,4113,25,8,62,291,5,9,3,295.62,0.662671232876712,0.0136986301369863,0.0428082191780822,303.62,0,0,0,0,0
"2","C.Beathard","QB",4,11,7,35,0,1,4,-4,0,0,0,-1,0.636363636363636,0.0909090909090909,0,0,0,0,0,0,0
"3","T.Etienne","RB",17,0,0,0,0,0,220,1125,5,4,1,203.1,0,0,0,185.6,45,35,316,0,0.0756302521008403
"4","J.Robinson","RB",7,0,0,0,0,0,81,340,3,0,0,71.6,0,0,0,67.1,11,9,46,1,0.0184873949579832
"5","J.Hasty","RB",14,0,0,0,0,0,46,194,2,0,0,70,0,0,0,60,26,20,126,1,0.0436974789915966
"6","S.Conner","RB",5,0,0,0,0,0,12,42,1,0,0,10.2,0,0,0,10.2,0,0,0,0,0
"7","E.Engram","TE",17,0,0,0,0,0,2,13,0,0,1,176.9,0,0,0,140.4,98,73,766,4,0.164705882352941
"8","D.Arnold","TE",10,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,18,13,9,135,0,0.0218487394957983
"9","C.Manhertz","TE",6,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,7.2,8,6,42,0,0.0134453781512605
"10","L.Farrell","TE",4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,4,4,40,0,0.00672268907563025
"11","C.Kirk","WR",17,0,0,0,0,0,5,11,0,0,0,243.9,0,0,0,201.9,133,84,1108,8,0.223529411764706
"12","Z.Jones","WR",16,0,0,0,0,0,4,18,0,0,1,198.1,0,0,0,157.1,121,82,823,5,0.203361344537815
"13","M.Jones","WR",16,0,0,0,0,0,0,0,0,0,0,116.9,0,0,0,93.9,81,46,529,3,0.136134453781513
"14","J.Agnew","WR",14,0,0,0,0,0,12,86,0,0,1,70.3,0,0,0,58.8,30,23,187,3,0.0504201680672269
"15","T.Jones","WR",4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4.5,4,3,30,0,0.00672268907563025
