"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","M.Stafford","QB",9,303,206,2087,10,8,13,9,1,3,0,108.38,0.67986798679868,0.0264026402640264,0.033003300330033,116.38,0,0,0,0,0
"2","B.Mayfield","QB",5,129,82,850,4,2,15,37,0,1,0,47.7,0.635658914728682,0.0155038759689922,0.0310077519379845,49.7,0,0,0,0,0
"3","B.Perkins","QB",5,34,19,161,1,2,19,90,0,0,0,15.44,0.558823529411765,0.0588235294117647,0.0294117647058824,17.44,0,0,0,0,0
"4","J.Wolford","QB",2,62,38,390,1,3,8,32,0,1,0,14.8,0.612903225806452,0.0483870967741935,0.0161290322580645,17.8,0,0,0,0,0
"5","C.Akers","RB",15,0,0,0,0,0,188,786,7,2,0,141.3,0,0,0,134.8,18,13,117,0,0.0340909090909091
"6","D.Henderson","RB",10,0,0,0,0,0,70,283,3,0,0,73.5,0,0,0,65,22,17,102,0,0.0416666666666667
"7","K.Williams","RB",8,0,0,0,0,0,35,139,0,0,0,30.5,0,0,0,26,12,9,76,0,0.0227272727272727
"8","M.Brown","RB",7,0,0,0,0,0,18,81,1,0,0,22.8,0,0,0,20.3,6,5,37,0,0.0113636363636364
"9","R.Rivers","RB",2,0,0,0,0,0,9,21,0,0,0,10,0,0,0,7.5,5,5,29,0,0.00946969696969697
"10","T.Higbee","TE",16,0,0,0,0,0,0,0,0,0,0,152,0,0,0,116,108,72,620,3,0.204545454545455
"11","B.Hopkins","TE",7,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,14.4,11,7,109,0,0.0208333333333333
"12","K.Blanton","TE",2,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,4.5,2,2,35,0,0.00378787878787879
"13","C.Kupp","WR",9,0,0,0,0,0,9,52,1,1,0,201.4,0,0,0,163.9,98,75,812,6,0.185606060606061
"14","A.Robinson","WR",10,0,0,0,0,0,0,0,0,0,0,84.9,0,0,0,68.4,52,33,339,3,0.0984848484848485
"15","B.Skowronek","WR",14,0,0,0,0,0,1,17,1,0,0,84.3,0,0,0,64.8,61,39,376,0,0.115530303030303
"16","V.Jefferson","WR",10,0,0,0,0,0,0,0,0,0,0,78.9,0,0,0,66.9,44,24,369,3,0.0833333333333333
"17","T.Atwell","WR",12,0,0,0,0,0,9,34,1,0,0,63.2,0,0,0,54.2,35,18,298,1,0.0662878787878788
"18","B.Powell","WR",16,0,0,0,0,0,17,80,0,0,0,47.6,0,0,0,35.6,32,24,156,0,0.0606060606060606
"19","A.Trammell","WR",2,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,2.3,4,2,13,0,0.00757575757575758
"20","J.Harris","WR",1,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,1.1,1,1,6,0,0.00189393939393939
"21","L.McCutcheon","WR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.00946969696969697
