"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Herbert","QB",17,699,477,4739,25,10,54,147,0,3,1,281.26,0.682403433476395,0.0143061516452074,0.0357653791130186,290.26,0,0,0,0,0
"2","C.Daniel","QB",3,12,8,52,1,0,1,4,0,0,1,8.48,0.666666666666667,0,0.0833333333333333,8.48,0,0,0,0,0
"3","A.Ekeler","RB",17,0,0,0,0,0,204,915,13,3,0,372.7,0,0,0,319.2,127,107,722,5,0.178621659634318
"4","J.Kelley","RB",12,0,0,0,0,0,69,287,2,0,0,64.8,0,0,0,57.8,25,14,101,0,0.0351617440225035
"5","S.Michel","RB",10,0,0,0,0,0,36,106,0,0,0,24.9,0,0,0,20.4,13,9,53,0,0.0182841068917018
"6","Z.Horvath","RB",8,0,0,0,0,0,4,8,0,0,0,18.6,0,0,0,16.1,8,5,8,2,0.0112517580872011
"7","I.Spiller","RB",5,0,0,0,0,0,18,41,0,0,0,8.4,0,0,0,6.9,3,3,13,0,0.00421940928270042
"8","L.Rountree","RB",2,0,0,0,0,0,13,19,0,0,0,5.3,0,0,0,4.3,2,2,14,0,0.00281293952180028
"9","G.Everett","TE",15,0,0,0,0,0,1,0,0,0,1,139.5,0,0,0,110.5,87,58,555,4,0.122362869198312
"10","D.Parham","TE",6,0,0,0,0,0,0,0,0,0,0,29,0,0,0,24,12,10,130,1,0.0168776371308017
"11","T.McKitty","TE",8,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,12.2,18,10,72,0,0.0253164556962025
"12","S.Smartt","TE",3,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,3.7,5,4,17,0,0.0070323488045007
"13","R.Rodgers","TE",3,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0.9,4,1,4,0,0.00562587904360056
"14","M.Williams","WR",13,0,0,0,0,0,0,0,0,0,0,176.5,0,0,0,145,93,63,895,4,0.130801687763713
"15","J.Palmer","WR",16,0,0,0,0,0,1,4,0,0,1,169.3,0,0,0,133.3,107,72,769,3,0.150492264416315
"16","K.Allen","WR",10,0,0,0,0,0,1,8,0,1,0,164,0,0,0,131,89,66,752,4,0.125175808720113
"17","D.Carter","WR",16,0,0,0,0,0,2,-15,0,1,0,114.3,0,0,0,91.3,65,46,538,3,0.0914205344585091
"18","M.Bandy","WR",7,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,13.9,21,10,89,0,0.029535864978903
"19","J.Guyton","WR",2,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,7.4,4,2,64,0,0.00562587904360056
"20","J.Moore","WR",1,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1,2,1,5,0,0.00281293952180028
