"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","D.Carr","QB",15,502,305,3522,24,14,24,102,0,0,0,219.08,0.607569721115538,0.0278884462151394,0.047808764940239,233.08,0,0,0,0,0
"2","J.Stidham","QB",3,83,53,656,4,3,14,84,0,1,0,42.64,0.63855421686747,0.036144578313253,0.0481927710843374,45.64,0,0,0,0,0
"3","J.Jacobs","RB",17,0,0,0,0,0,340,1653,12,1,0,328.3,0,0,0,301.8,64,53,400,0,0.109401709401709
"4","A.Abdullah","RB",13,0,0,0,0,0,4,20,0,0,0,54.1,0,0,0,41.6,32,25,211,1,0.0547008547008547
"5","B.Bolden","RB",8,0,0,0,0,0,17,66,0,0,0,27.3,0,0,0,22.8,9,9,57,1,0.0153846153846154
"6","Z.White","RB",11,0,0,0,0,0,17,70,0,0,0,7,0,0,0,7,0,0,0,0,0
"7","F.Moreau","TE",14,0,0,0,0,0,0,0,0,0,0,87,0,0,0,70.5,54,33,420,2,0.0923076923076923
"8","D.Waller","TE",8,0,0,0,0,0,0,0,0,0,0,84.8,0,0,0,70.8,43,28,388,3,0.0735042735042735
"9","J.Horsted","TE",2,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,3.4,4,3,19,0,0.00683760683760684
"10","D.Adams","WR",17,0,0,0,0,0,3,-1,0,0,0,335.5,0,0,0,285.5,180,100,1516,14,0.307692307692308
"11","M.Hollins","WR",17,0,0,0,0,0,4,40,0,0,0,154.16,0,0,0,125.5,94,57,690,4,0.160683760683761
"12","H.Renfrow","WR",10,0,0,0,0,0,0,0,0,1,0,79,0,0,0,61,50,36,330,2,0.0854700854700855
"13","K.Cole","WR",9,0,0,0,0,0,0,0,0,0,0,30.1,0,0,0,25.1,21,10,141,1,0.0358974358974359
"14","D.Turner","WR",2,0,0,0,0,0,4,26,0,0,0,2.6,0,0,0,2.6,1,0,0,0,0.00170940170940171
