"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","T.Tagovailoa","QB",13,400,259,3548,25,8,24,70,0,1,0,230.92,0.6475,0.02,0.0625,238.92,0,0,0,0,0
"2","T.Bridgewater","QB",5,79,49,683,4,4,3,27,0,0,0,38.02,0.620253164556962,0.0506329113924051,0.0506329113924051,42.02,0,0,0,0,0
"3","S.Thompson","QB",7,105,60,534,1,3,14,21,0,2,0,17.46,0.571428571428571,0.0285714285714286,0.00952380952380952,20.46,0,0,0,0,0
"4","R.Mostert","RB",16,0,0,0,0,0,181,891,3,1,0,168.3,0,0,0,152.8,42,31,202,2,0.0719178082191781
"5","J.Wilson","RB",8,0,0,0,0,0,84,392,3,0,0,84.6,0,0,0,78.6,24,12,94,1,0.0410958904109589
"6","C.Edmonds","RB",8,0,0,0,0,0,42,120,2,0,0,49.6,0,0,0,44.6,17,10,96,1,0.0291095890410959
"7","S.Ahmed","RB",6,0,0,0,0,0,12,64,1,0,0,14.2,0,0,0,13.7,1,1,8,0,0.00171232876712329
"8","M.Gaskin","RB",2,0,0,0,0,0,10,26,0,0,0,9.4,0,0,0,7.4,6,4,28,0,0.0102739726027397
"9","M.Gesicki","TE",17,0,0,0,0,0,0,0,0,0,0,98.2,0,0,0,82.2,52,32,362,5,0.089041095890411
"10","D.Smythe","TE",12,0,0,0,0,0,2,1,1,0,0,40,0,0,0,32.5,20,15,129,1,0.0342465753424658
"11","T.Hill","WR",17,0,0,0,0,0,7,32,1,0,0,341.2,0,0,0,281.7,170,119,1710,7,0.291095890410959
"12","J.Waddle","WR",17,0,0,0,0,0,3,26,0,1,0,259.2,0,0,0,221.7,117,75,1356,8,0.200342465753425
"13","T.Sherfield","WR",16,0,0,0,0,0,0,0,0,0,0,83.7,0,0,0,68.7,51,30,417,2,0.0873287671232877
"14","R.Cracraft","WR",8,0,0,0,0,0,0,0,0,0,0,31.2,0,0,0,26.7,14,9,102,2,0.023972602739726
"15","C.Wilson","WR",9,0,0,0,0,0,1,8,0,0,0,26.4,0,0,0,20.4,18,12,136,0,0.0308219178082192
"16","B.Sanders","WR",2,0,0,0,0,0,0,0,0,1,0,1.7,0,0,0,0.7,3,2,17,0,0.00513698630136986
"17","E.Ezukanma","WR",1,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.8,1,1,3,0,0.00171232876712329
"18","T.Conner","WR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.00513698630136986
