"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","K.Cousins","QB",17,643,424,4547,29,14,31,97,2,3,3,291.58,0.659409020217729,0.0217729393468118,0.0451010886469673,305.58,0,0,0,0,0
"2","N.Mullens","QB",4,25,21,224,1,1,4,8,0,0,0,11.76,0.84,0.04,0.04,12.76,0,0,0,0,0
"3","D.Cook","RB",17,0,0,0,0,0,264,1173,8,3,0,237.8,0,0,0,220.3,56,39,295,2,0.0838323353293413
"4","A.Mattison","RB",17,0,0,0,0,0,74,283,5,0,0,88.4,0,0,0,80.9,18,15,91,1,0.0269461077844311
"5","K.Nwangwu","RB",3,0,0,0,0,0,9,14,0,0,0,11.5,0,0,0,4.5,2,2,21,0,0.0029940119760479
"6","T.Chandler","RB",1,0,0,0,0,0,6,20,0,0,0,2,0,0,0,2,0,0,0,0,0
"7","T.Hockenson","TE",10,0,0,0,0,0,0,0,0,1,1,129.9,0,0,0,99.9,86,60,519,3,0.12874251497006
"8","I.Smith","TE",8,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,42.7,36,25,182,2,0.0538922155688623
"9","J.Mundt","TE",13,0,0,0,0,0,0,0,0,0,0,39,0,0,0,29.5,21,19,140,1,0.031437125748503
"10","B.Ellefson","TE",2,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,4.1,3,3,26,0,0.00449101796407186
"11","J.Jefferson","WR",17,0,0,0,0,0,4,24,1,0,1,368.66,0,0,0,303.3,184,128,1809,8,0.275449101796407
"12","A.Thielen","WR",17,0,0,0,0,0,1,4,0,0,1,180,0,0,0,145,107,70,716,6,0.160179640718563
"13","K.Osborn","WR",17,0,0,0,0,0,3,6,0,0,0,155.6,0,0,0,125.6,90,60,650,5,0.134730538922156
"14","J.Nailor","WR",5,0,0,0,0,0,0,0,0,0,0,32.9,0,0,0,28.4,13,9,179,1,0.0194610778443114
"15","J.Reagor","WR",10,0,0,0,0,0,4,25,0,0,0,26.9,0,0,0,22.9,13,8,104,1,0.0194610778443114
