"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","M.Jones","QB",14,442,288,2997,14,11,47,102,1,1,1,170.08,0.65158371040724,0.0248868778280543,0.0316742081447964,181.08,0,0,0,0,0
"2","B.Zappe","QB",4,92,65,781,5,3,10,0,0,3,0,39.64,0.706521739130435,0.0326086956521739,0.0543478260869565,42.24,0,0,0,0,0
"3","B.Hoyer","QB",1,6,5,37,0,0,0,0,0,0,0,1.48,0.833333333333333,0,0,1.48,0,0,0,0,0
"4","R.Stevenson","RB",17,0,0,0,0,0,210,1040,5,1,0,249.1,0,0,0,214.6,88,69,421,1,0.162962962962963
"5","D.Harris","RB",11,0,0,0,0,0,106,462,3,0,0,90.9,0,0,0,82.4,23,17,97,0,0.0425925925925926
"6","P.Strong","RB",4,0,0,0,0,0,10,100,1,0,0,27.2,0,0,0,23.7,7,7,42,0,0.012962962962963
"7","K.Harris","RB",5,0,0,0,0,0,18,52,1,0,0,11.2,0,0,0,11.2,0,0,0,0,0
"8","J.Taylor","RB",1,0,0,0,0,0,10,9,0,0,0,2.7,0,0,0,2.2,1,1,8,0,0.00185185185185185
"9","H.Henry","TE",16,0,0,0,0,0,0,0,0,0,0,103.9,0,0,0,83.4,59,41,509,2,0.109259259259259
"10","J.Smith","TE",12,0,0,0,0,0,1,5,0,0,0,52,0,0,0,38.5,38,27,245,0,0.0703703703703704
"11","J.Meyers","WR",14,0,0,0,0,0,2,9,0,1,1,184.3,0,0,0,150.8,96,67,804,6,0.177777777777778
"12","D.Parker","WR",12,0,0,0,0,0,0,0,0,0,0,102.9,0,0,0,87.4,47,31,539,3,0.087037037037037
"13","K.Bourne","WR",16,0,0,0,0,0,6,39,0,0,0,88.3,0,0,0,70.8,48,35,434,1,0.0888888888888889
"14","N.Agholor","WR",14,0,0,0,0,0,0,0,0,2,0,75.2,0,0,0,59.7,53,31,362,2,0.0981481481481482
"15","T.Thornton","WR",12,0,0,0,0,0,3,16,1,0,0,66.3,0,0,0,55.3,45,22,247,2,0.0833333333333333
"16","T.Montgomery","WR",1,0,0,0,0,0,2,-2,0,0,0,10.3,0,0,0,8.8,4,3,15,1,0.00740740740740741
"17","L.Humphrey","WR",3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,2,20,0,0.00740740740740741
