"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","A.Dalton","QB",14,378,252,2871,18,9,30,54,0,1,1,174.24,0.666666666666667,0.0238095238095238,0.0476190476190476,183.24,0,0,0,0,0
"2","J.Winston","QB",3,115,73,858,4,5,5,16,0,0,1,43.92,0.634782608695652,0.0434782608695652,0.0347826086956522,48.92,0,0,0,0,0
"3","A.Kamara","RB",15,0,0,0,0,0,223,897,2,4,0,211.7,0,0,0,183.2,77,57,490,2,0.156186612576065
"4","M.Ingram","RB",10,0,0,0,0,0,62,233,1,2,1,50.1,0,0,0,42.1,18,16,68,0,0.0365111561866126
"5","L.Murray","RB",1,0,0,0,0,0,11,57,1,0,0,13.5,0,0,0,13,1,1,8,0,0.00202839756592292
"6","D.Johnson","RB",4,0,0,0,0,0,12,24,0,1,0,9.1,0,0,0,7.1,4,4,47,0,0.00811359026369168
"7","D.Washington","RB",3,0,0,0,0,0,11,38,0,0,0,5.5,0,0,0,5,1,1,7,0,0.00202839756592292
"8","T.Jones","RB",1,0,0,0,0,0,2,8,0,0,0,4,0,0,0,3,2,2,12,0,0.00405679513184584
"9","E.Benjamin","RB",2,0,0,0,0,0,4,13,0,0,0,3.2,0,0,0,2.7,1,1,9,0,0.00202839756592292
"10","J.Howard","RB",1,0,0,0,0,0,1,1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0
"11","T.Hill","TE",16,0,0,0,0,0,96,575,7,0,0,145.8,0,0,0,123.7,13,9,77,2,0.026369168356998
"12","J.Johnson","TE",16,0,0,0,0,0,0,0,0,0,0,134.8,0,0,0,113.8,65,42,508,7,0.13184584178499
"13","A.Trautman","TE",12,0,0,0,0,0,0,0,0,0,0,44.7,0,0,0,35.7,22,18,207,1,0.0446247464503043
"14","N.Vannett","TE",2,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,2.3,2,2,13,0,0.00405679513184584
"15","C.Olave","WR",15,0,0,0,0,0,0,0,0,2,1,198.2,0,0,0,162.2,119,72,1042,4,0.241379310344828
"16","R.Shaheed","WR",11,0,0,0,0,0,4,57,1,0,0,100.5,0,0,0,86.5,34,28,488,2,0.0689655172413793
"17","J.Landry","WR",9,0,0,0,0,0,0,0,0,0,1,60.2,0,0,0,47.7,39,25,272,1,0.0791075050709939
"18","T.Smith","WR",9,0,0,0,0,0,0,0,0,0,0,52.8,0,0,0,43.3,27,19,278,1,0.0547667342799189
"19","M.Thomas","WR",3,0,0,0,0,0,0,0,0,0,0,51.1,0,0,0,43.1,22,16,171,3,0.0446247464503043
"20","M.Callaway","WR",10,0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,29.8,32,16,158,1,0.0649087221095335
"21","K.White","WR",4,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,8.4,5,2,74,0,0.0101419878296146
"22","K.Kirkwood","WR",3,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,2.8,4,2,18,0,0.00811359026369168
"23","D.Harty","WR",2,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,2.3,2,2,13,0,0.00405679513184584
