"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","D.Jones","QB",16,472,317,3205,15,5,120,708,7,3,2,289,0.671610169491525,0.0105932203389831,0.0317796610169492,294,0,0,0,0,0
"2","D.Webb","QB",1,40,23,168,1,0,6,41,1,0,0,20.82,0.575,0,0.025,20.82,0,0,0,0,0
"3","T.Taylor","QB",2,8,6,58,1,1,5,70,0,1,1,11.32,0.75,0.125,0.125,12.32,0,0,0,0,0
"4","S.Barkley","RB",16,0,0,0,0,0,295,1312,10,0,1,284,0,0,0,255.5,76,57,338,0,0.146153846153846
"5","M.Breida","RB",17,0,0,0,0,0,54,220,1,0,0,59.8,0,0,0,49.8,25,20,118,0,0.0480769230769231
"6","G.Brightwell","RB",8,0,0,0,0,0,31,141,1,0,0,29,0,0,0,26.5,8,5,39,0,0.0153846153846154
"7","D.Bellinger","TE",11,0,0,0,0,0,1,2,1,1,1,75,0,0,0,60,35,30,268,2,0.0673076923076923
"8","L.Cager","TE",5,0,0,0,0,0,0,0,0,0,0,30.8,0,0,0,24.3,18,13,118,1,0.0346153846153846
"9","T.Hudson","TE",6,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,18.2,15,10,132,0,0.0288461538461538
"10","C.Myarick","TE",7,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,16,8,7,65,1,0.0153846153846154
"11","N.Vannett","TE",3,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,6.2,7,4,42,0,0.0134615384615385
"12","R.James","WR",14,0,0,0,0,0,2,6,0,0,0,138.5,0,0,0,110,70,57,569,4,0.134615384615385
"13","D.Slayton","WR",13,0,0,0,0,0,0,0,0,1,0,128.4,0,0,0,105.4,71,46,724,2,0.136538461538462
"14","I.Hodgins","WR",8,0,0,0,0,0,0,0,0,1,1,92.1,0,0,0,75.6,42,33,351,4,0.0807692307692308
"15","W.Robinson","WR",6,0,0,0,0,0,2,-1,0,0,0,51.6,0,0,0,40.1,31,23,227,1,0.0596153846153846
"16","S.Shepard","WR",3,0,0,0,0,0,0,0,0,0,0,34.4,0,0,0,27.9,24,13,154,1,0.0461538461538462
"17","D.Sills","WR",7,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,16.1,17,11,106,0,0.0326923076923077
"18","K.Golladay","WR",6,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,17.1,17,6,81,1,0.0326923076923077
"19","M.Johnson","WR",5,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,14.4,22,9,99,0,0.0423076923076923
"20","K.Toney","WR",2,0,0,0,0,0,2,23,0,0,0,4.3,0,0,0,3.3,3,2,0,0,0.00576923076923077
