"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","Z.Wilson","QB",9,242,132,1688,6,7,28,102,1,1,0,98.92,0.545454545454545,0.0289256198347107,0.0247933884297521,98.72,0,0,0,0,0
"2","M.White","QB",4,175,103,1192,3,4,6,9,1,1,0,56.58,0.588571428571429,0.0228571428571429,0.0171428571428571,60.58,0,0,0,0,0
"3","J.Flacco","QB",5,191,110,1051,5,3,3,6,0,4,0,48.04,0.575916230366492,0.0157068062827225,0.0261780104712042,51.64,0,0,0,0,0
"4","C.Streveler","QB",1,15,10,90,0,0,9,54,0,0,0,9,0.666666666666667,0,0,9,0,0,0,0,0
"5","M.Carter","RB",16,0,0,0,0,0,114,402,3,1,0,126,0,0,0,105.5,54,41,288,0,0.086677367576244
"6","B.Hall","RB",7,0,0,0,0,0,80,463,4,1,0,115.1,0,0,0,105.6,31,19,218,1,0.0497592295345104
"7","Z.Knight","RB",7,0,0,0,0,0,85,300,1,0,0,59,0,0,0,52.5,14,13,100,0,0.0224719101123595
"8","T.Johnson","RB",10,0,0,0,0,0,30,160,1,0,0,42.8,0,0,0,36.8,24,12,88,0,0.0385232744783307
"9","J.Robinson","RB",4,0,0,0,0,0,29,85,0,0,0,17,0,0,0,16,3,2,5,1,0.00481540930979133
"10","T.Conklin","TE",17,0,0,0,0,0,2,3,0,0,0,131.5,0,0,0,102.5,87,58,552,3,0.139646869983949
"11","C.Uzomah","TE",12,0,0,0,0,0,0,0,0,0,0,56.2,0,0,0,45.7,27,21,232,2,0.043338683788122
"12","J.Ruckert","TE",2,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,1.3,2,1,8,0,0.00321027287319422
"13","L.Cager","TE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00160513643659711
"14","G.Wilson","WR",17,0,0,0,0,0,4,4,0,1,0,216,0,0,0,175,146,82,1116,4,0.234349919743178
"15","C.Davis","WR",13,0,0,0,0,0,0,0,0,0,0,97.6,0,0,0,81.6,64,32,536,2,0.102728731942215
"16","E.Moore","WR",14,0,0,0,0,0,5,5,0,0,0,88.1,0,0,0,69.6,65,37,446,1,0.104333868378812
"17","B.Berrios","WR",15,0,0,0,0,0,9,91,2,0,0,57.68,0,0,0,44.6,32,18,145,0,0.0513643659711075
"18","D.Mims","WR",9,0,0,0,0,0,0,0,0,0,0,29.6,0,0,0,24.1,25,11,186,0,0.0401284109149278
"19","J.Smith","WR",7,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,17.4,11,8,134,0,0.0176565008025682
