"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Hurts","QB",15,460,306,3701,22,6,165,760,13,2,2,378.04,0.665217391304348,0.0130434782608696,0.0478260869565217,384.04,0,0,0,0,0
"2","G.Minshew","QB",5,76,44,663,3,3,7,3,1,1,0,36.82,0.578947368421053,0.0394736842105263,0.0394736842105263,39.82,0,0,0,0,0
"3","M.Sanders","RB",17,0,0,0,0,0,259,1269,11,2,0,216.7,0,0,0,206.7,26,20,78,0,0.0485074626865672
"4","K.Gainwell","RB",17,0,0,0,0,0,53,240,4,0,0,87.9,0,0,0,76.4,29,23,169,0,0.0541044776119403
"5","B.Scott","RB",13,0,0,0,0,0,54,217,3,0,0,46.2,0,0,0,43.7,6,5,15,0,0.0111940298507463
"6","T.Sermon","RB",1,0,0,0,0,0,2,19,0,0,0,1.9,0,0,0,1.9,0,0,0,0,0
"7","D.Goedert","TE",12,0,0,0,0,0,0,0,0,1,0,141.2,0,0,0,113.7,69,55,702,3,0.128731343283582
"8","J.Stoll","TE",9,0,0,0,0,0,0,0,0,0,0,23.3,0,0,0,17.8,14,11,123,0,0.0261194029850746
"9","G.Calcaterra","TE",5,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,10.6,9,5,81,0,0.0167910447761194
"10","N.Togiai","TE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00186567164179104
"11","A.Brown","WR",17,0,0,0,0,0,0,0,0,2,0,299.6,0,0,0,255.6,145,88,1496,11,0.270522388059701
"12","D.Smith","WR",17,0,0,0,0,0,0,0,0,1,0,254.6,0,0,0,207.1,136,95,1196,7,0.253731343283582
"13","Q.Watkins","WR",16,0,0,0,0,0,3,1,0,1,0,84.5,0,0,0,68,51,33,354,3,0.0951492537313433
"14","Z.Pascal","WR",12,0,0,0,0,0,1,0,0,0,0,36,0,0,0,28.5,19,15,150,1,0.0354477611940298
