"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","K.Pickett","QB",13,389,245,2404,7,9,55,237,3,1,2,149.86,0.629820051413882,0.0231362467866324,0.0179948586118252,158.86,0,0,0,0,0
"2","M.Trubisky","QB",7,180,117,1252,4,5,19,38,2,0,1,73.88,0.65,0.0277777777777778,0.0222222222222222,78.88,0,0,0,0,0
"3","N.Harris","RB",17,0,0,0,0,0,272,1034,7,2,0,223.46,0,0,0,202.8,53,41,229,3,0.0931458699472759
"4","J.Warren","RB",16,0,0,0,0,0,77,379,1,0,0,93.3,0,0,0,79.3,33,28,214,0,0.0579964850615114
"5","B.Snell","RB",3,0,0,0,0,0,20,90,1,0,0,18.7,0,0,0,17.7,2,2,17,0,0.00351493848857645
"6","A.McFarland","RB",1,0,0,0,0,0,6,30,0,0,0,6.1,0,0,0,5.1,2,2,11,0,0.00351493848857645
"7","P.Freiermuth","TE",15,0,0,0,0,0,0,0,0,0,0,148.2,0,0,0,116.7,98,63,732,2,0.172231985940246
"8","C.Heyward","TE",8,0,0,0,0,0,2,27,0,0,0,35.8,0,0,0,29.8,17,12,151,1,0.0298769771528998
"9","Z.Gentry","TE",14,0,0,0,0,0,0,0,0,0,0,32.2,0,0,0,22.7,23,19,132,0,0.0404217926186292
"10","D.Johnson","WR",17,0,0,0,0,0,7,25,0,0,2,180.7,0,0,0,137.7,147,86,882,0,0.258347978910369
"11","G.Pickens","WR",17,0,0,0,0,0,3,24,1,0,1,166.5,0,0,0,140.5,84,52,801,4,0.147627416520211
"12","C.Claypool","WR",8,0,0,0,0,0,8,55,0,0,0,78.64,0,0,0,58.6,50,32,311,1,0.0878734622144113
"13","S.Sims","WR",11,0,0,0,0,0,13,70,0,0,0,31.4,0,0,0,24.4,23,14,104,0,0.0404217926186292
"14","G.Olszewski","WR",10,0,0,0,0,0,8,39,0,0,0,14.2,0,0,0,11.7,7,5,53,0,0.0123022847100176
"15","M.Boykin","WR",3,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,2.1,3,2,11,0,0.00527240773286467
"16","C.White","WR",1,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0.7,1,1,2,0,0.00175746924428822
