"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","G.Smith","QB",17,572,399,4282,30,11,68,366,1,4,0,303.88,0.697552447552448,0.0192307692307692,0.0524475524475524,314.88,0,0,0,0,0
"2","K.Walker","RB",15,0,0,0,0,0,228,1050,9,0,0,202.5,0,0,0,189,35,27,165,0,0.0611888111888112
"3","R.Penny","RB",5,0,0,0,0,0,57,346,2,0,0,52.2,0,0,0,50.2,5,4,16,0,0.00874125874125874
"4","D.Dallas","RB",11,0,0,0,0,0,35,186,0,0,0,46.2,0,0,0,39.7,19,17,126,0,0.0332167832167832
"5","T.Homer","RB",8,0,0,0,0,0,19,74,0,1,0,43.1,0,0,0,35.1,18,16,157,1,0.0314685314685315
"6","T.Jones","RB",2,0,0,0,0,0,8,16,0,0,0,6.4,0,0,0,4.9,6,3,18,0,0.0104895104895105
"7","G.Igwebuike","RB",1,0,0,0,0,0,3,4,0,0,0,1.7,0,0,0,1.2,1,1,3,0,0.00174825174825175
"8","N.Fant","TE",17,0,0,0,0,0,0,0,0,0,0,122.6,0,0,0,97.6,63,50,486,4,0.11013986013986
"9","W.Dissly","TE",15,0,0,0,0,0,0,0,0,0,0,86.9,0,0,0,69.9,38,34,349,3,0.0664335664335664
"10","C.Parkinson","TE",14,0,0,0,0,0,0,0,0,0,0,69.2,0,0,0,56.7,34,25,322,2,0.0594405594405594
"11","T.Mabry","TE",1,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,7.2,1,1,7,1,0.00174825174825175
"12","T.Lockett","WR",16,0,0,0,0,0,0,0,0,1,0,239.3,0,0,0,197.3,117,84,1033,9,0.204545454545455
"13","D.Metcalf","WR",17,0,0,0,0,0,0,0,0,2,0,226.8,0,0,0,181.8,141,90,1048,6,0.246503496503497
"14","M.Goodwin","WR",12,0,0,0,0,0,2,5,0,0,0,90.2,0,0,0,76.7,42,27,387,4,0.0734265734265734
"15","D.Eskridge","WR",8,0,0,0,0,0,2,10,0,0,0,13.8,0,0,0,10.3,13,7,58,0,0.0227272727272727
"16","L.Treadwell","WR",3,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,7.2,10,6,42,0,0.0174825174825175
"17","P.Hart","WR",3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3.5,4,3,20,0,0.00699300699300699
"18","D.Young","WR",1,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,3.4,2,2,24,0,0.0034965034965035
"19","C.Johnson","WR",2,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,3.1,4,2,21,0,0.00699300699300699
