"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","J.Garoppolo","QB",11,308,207,2437,16,4,23,33,2,2,0,164.78,0.672077922077922,0.012987012987013,0.051948051948052,168.78,0,0,0,0,0
"2","B.Purdy","QB",9,170,114,1374,13,4,22,13,1,0,0,106.26,0.670588235294118,0.0235294117647059,0.0764705882352941,110.26,0,0,0,0,0
"3","T.Lance","QB",2,31,15,194,0,1,16,67,0,0,0,12.46,0.483870967741935,0.032258064516129,0,13.46,0,0,0,0,0
"4","J.Johnson","QB",1,2,1,10,0,0,2,3,0,0,0,0.7,0.5,0,0,0.7,0,0,0,0,0
"5","C.McCaffrey","RB",11,0,0,0,0,0,159,746,6,0,0,238.36,0,0,0,207,65,52,464,4,0.12720156555773
"6","J.Wilson","RB",8,0,0,0,0,0,92,468,2,2,0,73.9,0,0,0,68.9,13,10,91,0,0.025440313111546
"7","E.Mitchell","RB",5,0,0,0,0,0,45,279,2,0,0,43.6,0,0,0,42.1,4,3,7,0,0.00782778864970646
"8","J.Mason","RB",8,0,0,0,0,0,43,258,1,0,0,31.8,0,0,0,31.8,0,0,0,0,0
"9","T.Coleman","RB",2,0,0,0,0,0,12,26,1,0,0,22,0,0,0,20.5,3,3,44,1,0.00587084148727984
"10","T.Davis-Price","RB",5,0,0,0,0,0,34,99,0,0,0,9.9,0,0,0,9.9,2,0,0,0,0.00391389432485323
"11","G.Kittle","TE",15,0,0,0,0,0,0,0,0,1,0,200.5,0,0,0,170.5,86,60,765,11,0.168297455968689
"12","R.Dwelley","TE",4,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,18,5,3,105,1,0.00978473581213307
"13","T.Kroft","TE",4,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,7.7,5,4,57,0,0.00978473581213307
"14","C.Woerner","TE",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.00391389432485323
"15","B.Aiyuk","WR",17,0,0,0,0,0,2,23,0,1,0,227.8,0,0,0,188.8,114,78,1015,8,0.223091976516634
"16","D.Samuel","WR",13,0,0,0,0,0,42,232,3,2,0,168.4,0,0,0,140.4,94,56,632,2,0.183953033268102
"17","J.Jennings","WR",16,0,0,0,0,0,0,0,0,0,0,82.6,0,0,0,65.1,56,35,416,1,0.10958904109589
"18","R.McCloud","WR",14,0,0,0,0,0,4,78,1,0,0,58.1,0,0,0,51.1,25,14,243,1,0.0489236790606654
"19","D.Gray","WR",5,0,0,0,0,0,1,9,0,0,0,2.9,0,0,0,2.4,7,1,10,0,0.0136986301369863
