"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","T.Brady","QB",17,733,490,4694,25,9,29,-1,1,4,2,271.66,0.668485675306958,0.0122783083219645,0.034106412005457,280.66,0,0,0,0,0
"2","B.Gabbert","QB",1,8,6,29,1,0,0,0,0,0,0,5.16,0.75,0,0.125,5.16,0,0,0,0,0
"3","K.Trask","QB",1,9,3,23,0,0,0,0,0,0,0,0.92,0.333333333333333,0,0,0.92,0,0,0,0,0
"4","L.Fournette","RB",16,0,0,0,0,0,189,668,3,0,0,226.1,0,0,0,191.6,83,73,523,3,0.110666666666667
"5","R.White","RB",16,0,0,0,0,0,129,481,1,2,0,141.1,0,0,0,116.1,58,50,290,2,0.0773333333333333
"6","K.Vaughn","RB",5,0,0,0,0,0,17,53,0,0,0,10.2,0,0,0,8.7,4,3,19,0,0.00533333333333333
"7","G.Bernard","RB",2,0,0,0,0,0,8,28,0,0,0,4.7,0,0,0,3.7,2,2,-1,0,0.00266666666666667
"8","C.Otton","TE",14,0,0,0,0,0,0,0,0,0,0,93.1,0,0,0,72.1,65,42,391,2,0.0866666666666667
"9","C.Brate","TE",9,0,0,0,0,0,0,0,0,0,0,37.4,0,0,0,27.4,38,20,174,0,0.0506666666666667
"10","K.Kieft","TE",8,0,0,0,0,0,0,0,0,0,0,21,0,0,0,17.5,10,7,80,1,0.0133333333333333
"11","K.Rudolph","TE",5,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,10.3,5,3,28,1,0.00666666666666667
"12","M.Evans","WR",15,0,0,0,0,0,0,0,0,0,0,225.4,0,0,0,186.9,127,77,1124,6,0.169333333333333
"13","C.Godwin","WR",15,0,0,0,0,0,3,5,0,2,1,222.8,0,0,0,170.8,142,104,1023,3,0.189333333333333
"14","R.Gage","WR",13,0,0,0,0,0,0,0,0,1,1,123.6,0,0,0,98.1,70,51,426,5,0.0933333333333333
"15","J.Jones","WR",10,0,0,0,0,0,5,45,0,0,0,70.4,0,0,0,58.4,43,24,299,2,0.0573333333333333
"16","S.Miller","WR",11,0,0,0,0,0,1,8,0,0,0,42.3,0,0,0,30.8,40,23,185,0,0.0533333333333333
"17","B.Perriman","WR",8,0,0,0,0,0,2,-7,0,1,0,23.3,0,0,0,18.8,19,9,110,1,0.0253333333333333
"18","D.Thompkins","WR",2,0,0,0,0,0,2,26,0,0,0,10.8,0,0,0,8.3,10,5,32,0,0.0133333333333333
"19","C.Beasley","WR",2,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,3.7,5,4,17,0,0.00666666666666667
"20","J.Darden","WR",3,0,0,0,0,0,1,2,0,0,0,4.8,0,0,0,3.8,2,2,26,0,0.00266666666666667
