"","player_name","position","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","two_point","fantasy_ppr","weeks_played","calc_fantasy_unfinished","carries","trgt","receptions","rec_yd","rec_td","trgt_share"
"1","T.Heinicke","QB",259,161,"62.16%",1859,12,6,96,1,5,0,115.96,9,121.96,NA,NA,NA,NA,NA,NA
"2","C.Wentz","QB",276,172,"62.32%",1755,11,9,86,1,1,2,112.8,8,121.8,NA,NA,NA,NA,NA,NA
"3","S.Howell","QB",19,11,"57.89%",169,1,1,35,1,0,0,18.26,1,19.26,NA,NA,NA,NA,NA,NA
"4","A.Gibson","RB",NA,NA,NA,NA,NA,NA,546,3,0,0,165.9,15,142.9,149,58,46,353,2,0.104693140794224
"5","B.Robinson","RB",NA,NA,NA,NA,NA,NA,797,2,0,0,112.7,12,108.2,205,12,9,60,1,0.0216606498194946
"6","J.McKissic","RB",NA,NA,NA,NA,NA,NA,95,0,0,1,55.8,8,42.3,22,40,27,173,0,0.0722021660649819
"7","J.Williams","RB",NA,NA,NA,NA,NA,NA,152,0,0,0,26.2,7,22.7,37,10,7,40,0,0.0180505415162455
"8","J.Patterson","RB",NA,NA,NA,NA,NA,NA,78,0,0,0,7.8,1,7.8,17,1,0,0,0,0.00180505415162455
"9","R.Bonnafon","RB",NA,NA,NA,NA,NA,NA,8,0,0,0,0.8,1,0.8,3,0,0,0,0,0
"10","L.Thomas","TE",NA,NA,NA,NA,NA,NA,0,0,0,0,77.3,13,57.8,0,61,39,323,1,0.110108303249097
"11","J.Bates","TE",NA,NA,NA,NA,NA,NA,0,0,0,0,30.8,9,23.8,0,22,14,108,1,0.0397111913357401
"12","A.Rogers","TE",NA,NA,NA,NA,NA,NA,26,0,0,0,14,5,11.5,2,6,5,64,0,0.0108303249097473
"13","C.Turner","TE",NA,NA,NA,NA,NA,NA,0,0,0,0,4.3,5,3.3,0,9,2,23,0,0.0162454873646209
"14","T.McLaurin","WR",NA,NA,NA,NA,NA,NA,29,0,0,0,229,17,190.5,7,120,77,1191,5,0.216606498194946
"15","C.Samuel","WR",NA,NA,NA,NA,NA,NA,187,1,1,0,176.3,17,144.3,38,92,64,656,4,0.166064981949458
"16","J.Dotson","WR",NA,NA,NA,NA,NA,NA,-7,0,0,1,130.6,12,113.1,2,61,35,523,7,0.110108303249097
"17","D.Brown","WR",NA,NA,NA,NA,NA,NA,15,0,0,0,32.8,7,30.3,1,14,5,143,2,0.0252707581227437
"18","C.Sims","WR",NA,NA,NA,NA,NA,NA,0,0,0,0,16.9,12,12.9,0,18,8,89,0,0.0324909747292419
"19","D.Milne","WR",NA,NA,NA,NA,NA,NA,0,0,0,0,15.7,7,12.7,0,7,6,37,1,0.0126353790613718
