team,off_yd,p_yd,car,r_yd,r_td,p_ff,p_att,cmp_pct,p_td,int,fmb
ARI,6310.0,3859.0,463.0,2451.0,18.0,1449.3600000000001,543.0,0.6887661141804788,21.0,11.0,5.0
ATL,6502.0,4283.0,495.0,2219.0,18.0,1469.52,559.0,0.6511627906976745,21.0,19.0,2.0
BAL,7378.0,4189.0,554.0,3189.0,21.0,1739.36,477.0,0.6666666666666666,41.0,4.0,6.0
BUF,6168.0,3938.0,491.0,2230.0,32.0,1576.6200000000001,520.0,0.6326923076923077,30.0,6.0,2.0
CAR,5289.0,3411.0,410.0,1878.0,18.0,1292.34,545.0,0.6256880733944954,22.0,15.0,4.0
CHI,5286.0,3552.0,431.0,1734.0,13.0,1285.68,566.0,0.6236749116607774,20.0,7.0,5.0
CIN,6492.0,4918.0,380.0,1574.0,11.0,1764.72,652.0,0.7055214723926381,43.0,9.0,7.0
CLE,5487.0,3879.0,391.0,1608.0,8.0,1292.86,661.0,0.5975794251134644,19.0,23.0,8.0
DAL,5793.0,4088.0,429.0,1705.0,6.0,1368.82,635.0,0.6251968503937008,23.0,14.0,7.0
DEN,5713.0,3805.0,461.0,1908.0,12.0,1436.8,569.0,0.664323374340949,30.0,12.0,3.0
DET,7188.0,4701.0,533.0,2487.0,29.0,1835.6399999999999,550.0,0.7236363636363636,39.0,12.0,1.0
GB,6435.0,3939.0,526.0,2496.0,23.0,1503.06,479.0,0.6430062630480167,28.0,11.0,5.0
HOU,5861.0,3952.0,434.0,1909.0,15.0,1355.18,570.0,0.6263157894736842,20.0,12.0,5.0
IND,5917.0,3599.0,496.0,2318.0,20.0,1290.6599999999999,513.0,0.5633528265107213,20.0,19.0,8.0
JAX,5446.0,3717.0,414.0,1729.0,13.0,1280.78,546.0,0.6282051282051282,19.0,15.0,5.0
KC,5835.0,4046.0,449.0,1789.0,15.0,1462.74,600.0,0.6733333333333333,26.0,11.0,2.0
LAC,5780.0,3898.0,462.0,1882.0,17.0,1398.22,509.0,0.6581532416502947,23.0,3.0,3.0
LAR,5861.0,4096.0,450.0,1765.0,15.0,1404.94,559.0,0.6565295169946332,22.0,9.0,5.0
LV,5440.0,4083.0,380.0,1357.0,10.0,1314.32,634.0,0.6451104100946372,19.0,16.0,13.0
MIA,5831.0,4036.0,447.0,1795.0,12.0,1419.54,591.0,0.6988155668358714,22.0,10.0,8.0
MIN,6234.0,4379.0,457.0,1855.0,9.0,1526.56,548.0,0.6642335766423357,35.0,12.0,5.0
NE,5305.0,3343.0,444.0,1962.0,11.0,1208.02,529.0,0.6465028355387523,18.0,11.0,11.0
NO,5673.0,3730.0,443.0,1943.0,15.0,1332.5,551.0,0.617059891107078,21.0,12.0,3.0
NYG,5294.0,3521.0,423.0,1773.0,13.0,1236.24,591.0,0.6192893401015228,15.0,13.0,9.0
NYJ,5556.0,4016.0,362.0,1540.0,8.0,1447.24,607.0,0.6342668863261944,31.0,11.0,3.0
PHI,6565.0,3517.0,621.0,3048.0,29.0,1496.18,448.0,0.6763392857142857,24.0,6.0,6.0
PIT,5773.0,3607.0,533.0,2166.0,14.0,1310.78,498.0,0.6445783132530121,21.0,6.0,7.0
SEA,6004.0,4379.0,382.0,1625.0,17.0,1465.36,593.0,0.6964586846543002,21.0,16.0,0.0
SF,6587.0,4424.0,457.0,2163.0,17.0,1468.76,533.0,0.6547842401500938,23.0,16.0,7.0
TB,7043.0,4505.0,482.0,2538.0,16.0,1755.6000000000001,571.0,0.7145359019264448,41.0,16.0,5.0
TEN,5476.0,3621.0,450.0,1855.0,11.0,1259.44,530.0,0.6339622641509434,22.0,21.0,10.0
WAS,6551.0,3932.0,526.0,2619.0,25.0,1594.28,525.0,0.6952380952380952,29.0,9.0,3.0
